timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1769679906;29.01.2026 10:45;18;1;DELLU2722DE_1769679906.png
1769679907;29.01.2026 10:45;18;1;DELLU2722DE_1769679907.png
1769679908;29.01.2026 10:45;18;1;DELLU2722DE_1769679908.png
1769679909;29.01.2026 10:45;20;1;DELLU2722DE_1769679909.png
1769679910;29.01.2026 10:45;18;1;DELLU2722DE_1769679910.png
1769679911;29.01.2026 10:45;18;1;DELLU2722DE_1769679911.png
1769679912;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679912.png
1769679913;29.01.2026 10:45;19;1;DELLU2722DE_1769679913.png
1769679914;29.01.2026 10:45;18;1;DELLU2722DE_1769679914.png
1769679915;29.01.2026 10:45;16;0.995;DELLU2722DE_1769679915.png
1769679916;29.01.2026 10:45;18;1;DELLU2722DE_1769679916.png
1769679917;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679917.png
1769679918;29.01.2026 10:45;18;1;DELLU2722DE_1769679918.png
1769679919;29.01.2026 10:45;117;0;DELLU2722DE_1769679919.png
1769679920;29.01.2026 10:45;48;1;DELLU2722DE_1769679920.png
1769679921;29.01.2026 10:45;20;1;DELLU2722DE_1769679921.png
1769679922;29.01.2026 10:45;19;1;DELLU2722DE_1769679922.png
1769679923;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679923.png
1769679924;29.01.2026 10:45;18;1;DELLU2722DE_1769679924.png
1769679926;29.01.2026 10:45;32;1;DELLU2722DE_1769679926.png
1769679927;29.01.2026 10:45;20;1;DELLU2722DE_1769679927.png
1769679928;29.01.2026 10:45;19;1;DELLU2722DE_1769679928.png
1769679929;29.01.2026 10:45;16;0.994;DELLU2722DE_1769679929.png
1769679930;29.01.2026 10:45;15;0.998;DELLU2722DE_1769679930.png
1769679931;29.01.2026 10:45;15;0.998;DELLU2722DE_1769679931.png
1769679932;29.01.2026 10:45;15;0.998;DELLU2722DE_1769679932.png
1769679933;29.01.2026 10:45;74;1;DELLU2722DE_1769679933.png
1769679934;29.01.2026 10:45;25;0.581;DELLU2722DE_1769679934.png
1769679935;29.01.2026 10:45;22;1;DELLU2722DE_1769679935.png
1769679936;29.01.2026 10:45;19;1;DELLU2722DE_1769679936.png
1769679937;29.01.2026 10:45;16;0.994;DELLU2722DE_1769679937.png
1769679938;29.01.2026 10:45;15;0.998;DELLU2722DE_1769679938.png
1769679939;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679939.png
1769679940;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679940.png
1769679941;29.01.2026 10:45;16;0.994;DELLU2722DE_1769679941.png
1769679942;29.01.2026 10:45;16;0.993;DELLU2722DE_1769679942.png
1769679943;29.01.2026 10:45;16;0.994;DELLU2722DE_1769679943.png
1769679944;29.01.2026 10:45;19;1;DELLU2722DE_1769679944.png
1769679945;29.01.2026 10:45;22;1;DELLU2722DE_1769679945.png
1769679946;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679946.png
1769679947;29.01.2026 10:45;18;1;DELLU2722DE_1769679947.png
1769679948;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679948.png
1769679949;29.01.2026 10:45;29;1;DELLU2722DE_1769679949.png
1769679950;29.01.2026 10:45;20;1;DELLU2722DE_1769679950.png
1769679951;29.01.2026 10:45;19;1;DELLU2722DE_1769679951.png
1769679952;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679952.png
1769679953;29.01.2026 10:45;19;1;DELLU2722DE_1769679953.png
1769679954;29.01.2026 10:45;18;1;DELLU2722DE_1769679954.png
1769679955;29.01.2026 10:45;19;1;DELLU2722DE_1769679955.png
1769679956;29.01.2026 10:45;19;1;DELLU2722DE_1769679956.png
1769679957;29.01.2026 10:45;18;1;DELLU2722DE_1769679957.png
1769679958;29.01.2026 10:45;20;1;DELLU2722DE_1769679958.png
1769679959;29.01.2026 10:45;17;0.998;DELLU2722DE_1769679959.png
1769679960;29.01.2026 10:46;22;1;DELLU2722DE_1769679960.png
1769679961;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679961.png
1769679962;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679962.png
1769679963;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679963.png
1769679964;29.01.2026 10:46;15;0.998;DELLU2722DE_1769679964.png
1769679965;29.01.2026 10:46;15;0.998;DELLU2722DE_1769679965.png
1769679966;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679966.png
1769679967;29.01.2026 10:46;15;0.998;DELLU2722DE_1769679967.png
1769679968;29.01.2026 10:46;22;1;DELLU2722DE_1769679968.png
1769679969;29.01.2026 10:46;19;1;DELLU2722DE_1769679969.png
1769679970;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679970.png
1769679971;29.01.2026 10:46;15;0.998;DELLU2722DE_1769679971.png
1769679972;29.01.2026 10:46;15;0.998;DELLU2722DE_1769679972.png
1769679973;29.01.2026 10:46;21;1;DELLU2722DE_1769679973.png
1769679974;29.01.2026 10:46;18;1;DELLU2722DE_1769679974.png
1769679975;29.01.2026 10:46;19;1;DELLU2722DE_1769679975.png
1769679976;29.01.2026 10:46;37;1;DELLU2722DE_1769679976.png
1769679977;29.01.2026 10:46;27;1;DELLU2722DE_1769679977.png
1769679978;29.01.2026 10:46;20;1;DELLU2722DE_1769679978.png
1769679979;29.01.2026 10:46;21;0.735;DELLU2722DE_1769679979.png
1769679980;29.01.2026 10:46;18;1;DELLU2722DE_1769679980.png
1769679981;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679981.png
1769679982;29.01.2026 10:46;20;1;DELLU2722DE_1769679982.png
1769679984;29.01.2026 10:46;19;1;DELLU2722DE_1769679984.png
1769679985;29.01.2026 10:46;20;1;DELLU2722DE_1769679985.png
1769679986;29.01.2026 10:46;23;1;DELLU2722DE_1769679986.png
1769679987;29.01.2026 10:46;18;1;DELLU2722DE_1769679987.png
1769679988;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679988.png
1769679989;29.01.2026 10:46;21;1;DELLU2722DE_1769679989.png
1769679990;29.01.2026 10:46;24;1;DELLU2722DE_1769679990.png
1769679991;29.01.2026 10:46;26;1;DELLU2722DE_1769679991.png
1769679992;29.01.2026 10:46;21;0.604;DELLU2722DE_1769679992.png
1769679993;29.01.2026 10:46;21;0.632;DELLU2722DE_1769679993.png
1769679994;29.01.2026 10:46;20;1;DELLU2722DE_1769679994.png
1769679995;29.01.2026 10:46;34;1;DELLU2722DE_1769679995.png
1769679996;29.01.2026 10:46;22;1;DELLU2722DE_1769679996.png
1769679997;29.01.2026 10:46;17;0.998;DELLU2722DE_1769679997.png
1769679998;29.01.2026 10:46;21;0.62;DELLU2722DE_1769679998.png
1769679999;29.01.2026 10:46;21;0.619;DELLU2722DE_1769679999.png
1769680000;29.01.2026 10:46;20;1;DELLU2722DE_1769680000.png
1769680001;29.01.2026 10:46;20;1;DELLU2722DE_1769680001.png
1769680002;29.01.2026 10:46;16;0.994;DELLU2722DE_1769680002.png
1769680003;29.01.2026 10:46;39;1;DELLU2722DE_1769680003.png
1769680004;29.01.2026 10:46;23;1;DELLU2722DE_1769680004.png
1769680005;29.01.2026 10:46;18;1;DELLU2722DE_1769680005.png
1769680006;29.01.2026 10:46;19;1;DELLU2722DE_1769680006.png
1769680007;29.01.2026 10:46;18;1;DELLU2722DE_1769680007.png
1769680008;29.01.2026 10:46;16;0.994;DELLU2722DE_1769680008.png
1769680009;29.01.2026 10:46;16;0.996;DELLU2722DE_1769680009.png
1769680010;29.01.2026 10:46;15;0.998;DELLU2722DE_1769680010.png
1769680011;29.01.2026 10:46;16;0.994;DELLU2722DE_1769680011.png
1769680012;29.01.2026 10:46;17;0.998;DELLU2722DE_1769680012.png
1769680013;29.01.2026 10:46;16;0.994;DELLU2722DE_1769680013.png
1769680014;29.01.2026 10:46;17;0.998;DELLU2722DE_1769680014.png
1769680015;29.01.2026 10:46;18;1;DELLU2722DE_1769680015.png
1769680016;29.01.2026 10:46;19;1;DELLU2722DE_1769680016.png
1769680017;29.01.2026 10:46;20;1;DELLU2722DE_1769680017.png
1769680018;29.01.2026 10:46;21;0.999;DELLU2722DE_1769680018.png
1769680019;29.01.2026 10:46;18;1;DELLU2722DE_1769680019.png
1769680020;29.01.2026 10:47;17;0.998;DELLU2722DE_1769680020.png
1769680021;29.01.2026 10:47;20;1;DELLU2722DE_1769680021.png
1769680022;29.01.2026 10:47;24;1;DELLU2722DE_1769680022.png
1769680023;29.01.2026 10:47;19;1;DELLU2722DE_1769680023.png
1769680024;29.01.2026 10:47;19;1;DELLU2722DE_1769680024.png
1769680025;29.01.2026 10:47;77;1;DELLU2722DE_1769680025.png
1769680026;29.01.2026 10:47;26;0.704;DELLU2722DE_1769680026.png
1769680027;29.01.2026 10:47;19;1;DELLU2722DE_1769680027.png
1769680028;29.01.2026 10:47;22;1;DELLU2722DE_1769680028.png
1769680029;29.01.2026 10:47;18;1;DELLU2722DE_1769680029.png
1769680030;29.01.2026 10:47;18;1;DELLU2722DE_1769680030.png
1769680031;29.01.2026 10:47;29;1;DELLU2722DE_1769680031.png
1769680032;29.01.2026 10:47;20;1;DELLU2722DE_1769680032.png
1769680033;29.01.2026 10:47;17;0.998;DELLU2722DE_1769680033.png
1769680034;29.01.2026 10:47;17;0.998;DELLU2722DE_1769680034.png
1769680035;29.01.2026 10:47;19;1;DELLU2722DE_1769680035.png
1769680036;29.01.2026 10:47;20;1;DELLU2722DE_1769680036.png
1769680037;29.01.2026 10:47;19;1;DELLU2722DE_1769680037.png
1769680038;29.01.2026 10:47;19;1;DELLU2722DE_1769680038.png
1769680039;29.01.2026 10:47;19;1;DELLU2722DE_1769680039.png
1769680040;29.01.2026 10:47;18;1;DELLU2722DE_1769680040.png
1769680042;29.01.2026 10:47;22;1;DELLU2722DE_1769680042.png
1769680043;29.01.2026 10:47;20;1;DELLU2722DE_1769680043.png
1769680044;29.01.2026 10:47;21;1;DELLU2722DE_1769680044.png
1769680045;29.01.2026 10:47;19;1;DELLU2722DE_1769680045.png
1769680046;29.01.2026 10:47;18;1;DELLU2722DE_1769680046.png
1769680047;29.01.2026 10:47;21;1;DELLU2722DE_1769680047.png
1769680048;29.01.2026 10:47;19;1;DELLU2722DE_1769680048.png
1769680049;29.01.2026 10:47;23;1;DELLU2722DE_1769680049.png
1769680050;29.01.2026 10:47;20;1;DELLU2722DE_1769680050.png
1769680051;29.01.2026 10:47;20;1;DELLU2722DE_1769680051.png
1769680052;29.01.2026 10:47;21;0.666;DELLU2722DE_1769680052.png
1769680053;29.01.2026 10:47;19;1;DELLU2722DE_1769680053.png
1769680054;29.01.2026 10:47;42;1;DELLU2722DE_1769680054.png
1769680055;29.01.2026 10:47;22;1;DELLU2722DE_1769680055.png
