timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770127311;03.02.2026 15:01;6;1;DELLU2414H_1770127311.png
1770127312;03.02.2026 15:01;6;1;DELLU2414H_1770127312.png
1770127313;03.02.2026 15:01;6;1;DELLU2414H_1770127313.png
1770127314;03.02.2026 15:01;10;0.972;DELLU2414H_1770127314.png
1770127315;03.02.2026 15:01;8;1;DELLU2414H_1770127315.png
1770127316;03.02.2026 15:01;8;1;DELLU2414H_1770127316.png
1770127317;03.02.2026 15:01;11;0.477;DELLU2414H_1770127317.png
1770127318;03.02.2026 15:01;9;1;DELLU2414H_1770127318.png
1770127319;03.02.2026 15:01;14;0.997;DELLU2414H_1770127319.png
1770127320;03.02.2026 15:02;9;1;DELLU2414H_1770127320.png
1770127321;03.02.2026 15:02;11;0.487;DELLU2414H_1770127321.png
1770127322;03.02.2026 15:02;9;1;DELLU2414H_1770127322.png
1770127323;03.02.2026 15:02;7;0;DELLU2414H_1770127323.png
1770127324;03.02.2026 15:02;8;1;DELLU2414H_1770127324.png
1770127325;03.02.2026 15:02;8;0.997;DELLU2414H_1770127325.png
1770127326;03.02.2026 15:02;8;1;DELLU2414H_1770127326.png
1770127327;03.02.2026 15:02;19;0.995;DELLU2414H_1770127327.png
1770127328;03.02.2026 15:02;9;1;DELLU2414H_1770127328.png
1770127329;03.02.2026 15:02;7;0;DELLU2414H_1770127329.png
1770127330;03.02.2026 15:02;7;0;DELLU2414H_1770127330.png
1770127331;03.02.2026 15:02;13;0.996;DELLU2414H_1770127331.png
1770127332;03.02.2026 15:02;13;0.996;DELLU2414H_1770127332.png
1770127333;03.02.2026 15:02;29;1;DELLU2414H_1770127333.png
1770127334;03.02.2026 15:02;16;0.707;DELLU2414H_1770127334.png
1770127335;03.02.2026 15:02;20;1;DELLU2414H_1770127335.png
1770127336;03.02.2026 15:02;11;0.5;DELLU2414H_1770127336.png
1770127337;03.02.2026 15:02;15;0.993;DELLU2414H_1770127337.png
1770127338;03.02.2026 15:02;15;0.996;DELLU2414H_1770127338.png
1770127339;03.02.2026 15:02;17;0.996;DELLU2414H_1770127339.png
1770127340;03.02.2026 15:02;9;1;DELLU2414H_1770127340.png
1770127341;03.02.2026 15:02;15;0.996;DELLU2414H_1770127341.png
1770127342;03.02.2026 15:02;10;0.963;DELLU2414H_1770127342.png
1770127343;03.02.2026 15:02;22;1;DELLU2414H_1770127343.png
1770127344;03.02.2026 15:02;12;0.999;DELLU2414H_1770127344.png
1770127345;03.02.2026 15:02;17;0.996;DELLU2414H_1770127345.png
1770127346;03.02.2026 15:02;12;0.999;DELLU2414H_1770127346.png
1770127347;03.02.2026 15:02;21;1;DELLU2414H_1770127347.png
1770127348;03.02.2026 15:02;9;1;DELLU2414H_1770127348.png
1770127349;03.02.2026 15:02;8;1;DELLU2414H_1770127349.png
1770127350;03.02.2026 15:02;7;0;DELLU2414H_1770127350.png
1770127351;03.02.2026 15:02;7;0;DELLU2414H_1770127351.png
1770127352;03.02.2026 15:02;7;0;DELLU2414H_1770127352.png
1770127353;03.02.2026 15:02;7;0;DELLU2414H_1770127353.png
1770127354;03.02.2026 15:02;14;0.997;DELLU2414H_1770127354.png
1770127355;03.02.2026 15:02;22;1;DELLU2414H_1770127355.png
1770127356;03.02.2026 15:02;11;0.457;DELLU2414H_1770127356.png
1770127357;03.02.2026 15:02;17;0.989;DELLU2414H_1770127357.png
1770127358;03.02.2026 15:02;9;1;DELLU2414H_1770127358.png
1770127359;03.02.2026 15:02;18;0.998;DELLU2414H_1770127359.png
1770127360;03.02.2026 15:02;9;1;DELLU2414H_1770127360.png
1770127361;03.02.2026 15:02;18;0.998;DELLU2414H_1770127361.png
1770127362;03.02.2026 15:02;16;0.717;DELLU2414H_1770127362.png
1770127363;03.02.2026 15:02;15;0.994;DELLU2414H_1770127363.png
1770127364;03.02.2026 15:02;10;0.969;DELLU2414H_1770127364.png
1770127365;03.02.2026 15:02;16;0.719;DELLU2414H_1770127365.png
1770127366;03.02.2026 15:02;8;1;DELLU2414H_1770127366.png
1770127367;03.02.2026 15:02;14;0.997;DELLU2414H_1770127367.png
1770127368;03.02.2026 15:02;8;1;DELLU2414H_1770127368.png
1770127369;03.02.2026 15:02;16;0.717;DELLU2414H_1770127369.png
1770127370;03.02.2026 15:02;8;1;DELLU2414H_1770127370.png
1770127371;03.02.2026 15:02;11;0.496;DELLU2414H_1770127371.png
1770127373;03.02.2026 15:02;7;0;DELLU2414H_1770127373.png
1770127374;03.02.2026 15:02;21;1;DELLU2414H_1770127374.png
1770127375;03.02.2026 15:02;9;1;DELLU2414H_1770127375.png
1770127376;03.02.2026 15:02;20;1;DELLU2414H_1770127376.png
1770127377;03.02.2026 15:02;9;1;DELLU2414H_1770127377.png
1770127378;03.02.2026 15:02;15;0.995;DELLU2414H_1770127378.png
1770127379;03.02.2026 15:02;8;1;DELLU2414H_1770127379.png
1770127380;03.02.2026 15:03;20;1;DELLU2414H_1770127380.png
1770127381;03.02.2026 15:03;9;1;DELLU2414H_1770127381.png
