timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770124851;03.02.2026 14:20;7;0;DELLU2414H_1770124851.png
1770124852;03.02.2026 14:20;6;1;DELLU2414H_1770124852.png
1770124853;03.02.2026 14:20;10;0.97;DELLU2414H_1770124853.png
1770124854;03.02.2026 14:20;6;1;DELLU2414H_1770124854.png
1770124855;03.02.2026 14:20;7;0;DELLU2414H_1770124855.png
1770124856;03.02.2026 14:20;6;1;DELLU2414H_1770124856.png
1770124857;03.02.2026 14:20;6;1;DELLU2414H_1770124857.png
1770124858;03.02.2026 14:20;7;0;DELLU2414H_1770124858.png
1770124859;03.02.2026 14:20;7;0;DELLU2414H_1770124859.png
1770124860;03.02.2026 14:21;7;0;DELLU2414H_1770124860.png
1770124861;03.02.2026 14:21;7;0;DELLU2414H_1770124861.png
1770124862;03.02.2026 14:21;7;0;DELLU2414H_1770124862.png
1770124863;03.02.2026 14:21;7;0;DELLU2414H_1770124863.png
1770124864;03.02.2026 14:21;7;0;DELLU2414H_1770124864.png
1770124865;03.02.2026 14:21;7;0;DELLU2414H_1770124865.png
1770124866;03.02.2026 14:21;7;0;DELLU2414H_1770124866.png
1770124867;03.02.2026 14:21;7;0;DELLU2414H_1770124867.png
1770124869;03.02.2026 14:21;10;0.972;DELLU2414H_1770124869.png
1770124870;03.02.2026 14:21;7;0;DELLU2414H_1770124870.png
1770124871;03.02.2026 14:21;18;0.998;DELLU2414H_1770124871.png
1770124872;03.02.2026 14:21;11;0.456;DELLU2414H_1770124872.png
1770124873;03.02.2026 14:21;13;0.996;DELLU2414H_1770124873.png
1770124874;03.02.2026 14:21;7;0;DELLU2414H_1770124874.png
1770124875;03.02.2026 14:21;8;1;DELLU2414H_1770124875.png
1770124876;03.02.2026 14:21;6;1;DELLU2414H_1770124876.png
1770124877;03.02.2026 14:21;8;1;DELLU2414H_1770124877.png
1770124878;03.02.2026 14:21;7;0;DELLU2414H_1770124878.png
1770124879;03.02.2026 14:21;8;1;DELLU2414H_1770124879.png
1770124880;03.02.2026 14:21;7;0;DELLU2414H_1770124880.png
1770124881;03.02.2026 14:21;9;1;DELLU2414H_1770124881.png
1770124882;03.02.2026 14:21;16;0.844;DELLU2414H_1770124882.png
1770124883;03.02.2026 14:21;10;0.97;DELLU2414H_1770124883.png
1770124884;03.02.2026 14:21;7;0;DELLU2414H_1770124884.png
1770124885;03.02.2026 14:21;9;1;DELLU2414H_1770124885.png
1770124886;03.02.2026 14:21;7;0;DELLU2414H_1770124886.png
1770124887;03.02.2026 14:21;7;0;DELLU2414H_1770124887.png
1770124888;03.02.2026 14:21;7;0;DELLU2414H_1770124888.png
1770124889;03.02.2026 14:21;7;0;DELLU2414H_1770124889.png
1770124890;03.02.2026 14:21;7;0;DELLU2414H_1770124890.png
1770124891;03.02.2026 14:21;7;0;DELLU2414H_1770124891.png
1770124892;03.02.2026 14:21;7;0;DELLU2414H_1770124892.png
1770124893;03.02.2026 14:21;8;0.998;DELLU2414H_1770124893.png
1770124894;03.02.2026 14:21;14;0.997;DELLU2414H_1770124894.png
1770124895;03.02.2026 14:21;8;1;DELLU2414H_1770124895.png
1770124896;03.02.2026 14:21;7;0;DELLU2414H_1770124896.png
1770124897;03.02.2026 14:21;6;1;DELLU2414H_1770124897.png
