timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770126966;03.02.2026 14:56;6;1;DELLU2414H_1770126966.png
1770126967;03.02.2026 14:56;6;1;DELLU2414H_1770126967.png
1770126968;03.02.2026 14:56;7;0;DELLU2414H_1770126968.png
1770126969;03.02.2026 14:56;6;1;DELLU2414H_1770126969.png
1770126970;03.02.2026 14:56;6;1;DELLU2414H_1770126970.png
1770126971;03.02.2026 14:56;6;1;DELLU2414H_1770126971.png
1770126972;03.02.2026 14:56;6;1;DELLU2414H_1770126972.png
1770126973;03.02.2026 14:56;6;1;DELLU2414H_1770126973.png
1770126974;03.02.2026 14:56;6;1;DELLU2414H_1770126974.png
1770126975;03.02.2026 14:56;6;1;DELLU2414H_1770126975.png
1770126976;03.02.2026 14:56;6;1;DELLU2414H_1770126976.png
1770126977;03.02.2026 14:56;6;1;DELLU2414H_1770126977.png
1770126978;03.02.2026 14:56;6;1;DELLU2414H_1770126978.png
1770126979;03.02.2026 14:56;6;1;DELLU2414H_1770126979.png
1770126980;03.02.2026 14:56;6;1;DELLU2414H_1770126980.png
1770126981;03.02.2026 14:56;7;0;DELLU2414H_1770126981.png
1770126982;03.02.2026 14:56;7;0;DELLU2414H_1770126982.png
1770126983;03.02.2026 14:56;7;0;DELLU2414H_1770126983.png
1770126984;03.02.2026 14:56;7;0;DELLU2414H_1770126984.png
1770126985;03.02.2026 14:56;6;1;DELLU2414H_1770126985.png
1770126986;03.02.2026 14:56;6;1;DELLU2414H_1770126986.png
1770126987;03.02.2026 14:56;8;1;DELLU2414H_1770126987.png
1770126988;03.02.2026 14:56;7;0;DELLU2414H_1770126988.png
1770126989;03.02.2026 14:56;6;1;DELLU2414H_1770126989.png
1770126990;03.02.2026 14:56;7;0;DELLU2414H_1770126990.png
1770126991;03.02.2026 14:56;7;0;DELLU2414H_1770126991.png
1770126992;03.02.2026 14:56;7;0;DELLU2414H_1770126992.png
1770126993;03.02.2026 14:56;17;0.996;DELLU2414H_1770126993.png
1770126994;03.02.2026 14:56;14;0.999;DELLU2414H_1770126994.png
1770126995;03.02.2026 14:56;17;0.996;DELLU2414H_1770126995.png
1770126996;03.02.2026 14:56;8;1;DELLU2414H_1770126996.png
