timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770303100;05.02.2026 15:51;9;1;DELLU2414H_1770303100.png
1770303101;05.02.2026 15:51;11;0.478;DELLU2414H_1770303101.png
1770303102;05.02.2026 15:51;12;1;DELLU2414H_1770303102.png
1770303103;05.02.2026 15:51;26;0.904;DELLU2414H_1770303103.png
1770303104;05.02.2026 15:51;16;0.903;DELLU2414H_1770303104.png
1770303105;05.02.2026 15:51;7;0;DELLU2414H_1770303105.png
1770303106;05.02.2026 15:51;7;0;DELLU2414H_1770303106.png
1770303107;05.02.2026 15:51;8;1;DELLU2414H_1770303107.png
1770303108;05.02.2026 15:51;8;1;DELLU2414H_1770303108.png
1770303109;05.02.2026 15:51;8;1;DELLU2414H_1770303109.png
1770303110;05.02.2026 15:51;19;0.999;DELLU2414H_1770303110.png
1770303111;05.02.2026 15:51;10;0.989;DELLU2414H_1770303111.png
1770303112;05.02.2026 15:51;19;0.997;DELLU2414H_1770303112.png
1770303113;05.02.2026 15:51;32;1;DELLU2414H_1770303113.png
1770303114;05.02.2026 15:51;21;1;DELLU2414H_1770303114.png
1770303115;05.02.2026 15:51;22;1;DELLU2414H_1770303115.png
1770303116;05.02.2026 15:51;25;1;DELLU2414H_1770303116.png
1770303117;05.02.2026 15:51;19;0.999;DELLU2414H_1770303117.png
1770303118;05.02.2026 15:51;26;1;DELLU2414H_1770303118.png
1770303119;05.02.2026 15:51;27;1;DELLU2414H_1770303119.png
1770303120;05.02.2026 15:52;23;1;DELLU2414H_1770303120.png
1770303121;05.02.2026 15:52;33;1;DELLU2414H_1770303121.png
1770303122;05.02.2026 15:52;23;1;DELLU2414H_1770303122.png
1770303123;05.02.2026 15:52;30;1;DELLU2414H_1770303123.png
1770303124;05.02.2026 15:52;30;1;DELLU2414H_1770303124.png
1770303125;05.02.2026 15:52;21;0.998;DELLU2414H_1770303125.png
1770303126;05.02.2026 15:52;24;1;DELLU2414H_1770303126.png
1770303128;05.02.2026 15:52;27;1;DELLU2414H_1770303128.png
1770303129;05.02.2026 15:52;23;0.732;DELLU2414H_1770303129.png
1770303130;05.02.2026 15:52;31;0.999;DELLU2414H_1770303130.png
1770303131;05.02.2026 15:52;23;0.737;DELLU2414H_1770303131.png
1770303132;05.02.2026 15:52;33;1;DELLU2414H_1770303132.png
1770303133;05.02.2026 15:52;32;1;DELLU2414H_1770303133.png
1770303134;05.02.2026 15:52;31;0.999;DELLU2414H_1770303134.png
1770303135;05.02.2026 15:52;28;1;DELLU2414H_1770303135.png
1770303136;05.02.2026 15:52;36;1;DELLU2414H_1770303136.png
1770303137;05.02.2026 15:52;24;1;DELLU2414H_1770303137.png
1770303138;05.02.2026 15:52;35;1;DELLU2414H_1770303138.png
1770303139;05.02.2026 15:52;27;1;DELLU2414H_1770303139.png
1770303140;05.02.2026 15:52;27;1;DELLU2414H_1770303140.png
1770303141;05.02.2026 15:52;28;1;DELLU2414H_1770303141.png
1770303142;05.02.2026 15:52;25;1;DELLU2414H_1770303142.png
1770303143;05.02.2026 15:52;34;1;DELLU2414H_1770303143.png
1770303144;05.02.2026 15:52;33;1;DELLU2414H_1770303144.png
1770303145;05.02.2026 15:52;20;1;DELLU2414H_1770303145.png
1770303146;05.02.2026 15:52;32;1;DELLU2414H_1770303146.png
1770303147;05.02.2026 15:52;24;1;DELLU2414H_1770303147.png
1770303148;05.02.2026 15:52;21;1;DELLU2414H_1770303148.png
1770303149;05.02.2026 15:52;23;1;DELLU2414H_1770303149.png
1770303150;05.02.2026 15:52;34;1;DELLU2414H_1770303150.png
1770303151;05.02.2026 15:52;27;1;DELLU2414H_1770303151.png
1770303152;05.02.2026 15:52;22;1;DELLU2414H_1770303152.png
1770303153;05.02.2026 15:52;37;0.573;DELLU2414H_1770303153.png
1770303154;05.02.2026 15:52;20;1;DELLU2414H_1770303154.png
1770303155;05.02.2026 15:52;38;1;DELLU2414H_1770303155.png
1770303156;05.02.2026 15:52;39;1;DELLU2414H_1770303156.png
1770303157;05.02.2026 15:52;40;0.998;DELLU2414H_1770303157.png
