timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770302061;05.02.2026 15:34;7;0;DELLU2414H_1770302061.png
1770302062;05.02.2026 15:34;7;0;DELLU2414H_1770302062.png
1770302063;05.02.2026 15:34;8;1;DELLU2414H_1770302063.png
1770302064;05.02.2026 15:34;8;1;DELLU2414H_1770302064.png
1770302065;05.02.2026 15:34;8;1;DELLU2414H_1770302065.png
1770302066;05.02.2026 15:34;8;1;DELLU2414H_1770302066.png
1770302067;05.02.2026 15:34;8;1;DELLU2414H_1770302067.png
1770302068;05.02.2026 15:34;7;0;DELLU2414H_1770302068.png
1770302069;05.02.2026 15:34;7;0;DELLU2414H_1770302069.png
1770302070;05.02.2026 15:34;9;1;DELLU2414H_1770302070.png
1770302071;05.02.2026 15:34;32;1;DELLU2414H_1770302071.png
1770302072;05.02.2026 15:34;11;0.477;DELLU2414H_1770302072.png
1770302073;05.02.2026 15:34;11;0.502;DELLU2414H_1770302073.png
1770302074;05.02.2026 15:34;11;0.497;DELLU2414H_1770302074.png
1770302075;05.02.2026 15:34;8;1;DELLU2414H_1770302075.png
1770302076;05.02.2026 15:34;8;1;DELLU2414H_1770302076.png
1770302077;05.02.2026 15:34;9;1;DELLU2414H_1770302077.png
1770302078;05.02.2026 15:34;8;1;DELLU2414H_1770302078.png
1770302079;05.02.2026 15:34;8;1;DELLU2414H_1770302079.png
1770302081;05.02.2026 15:34;8;0.978;DELLU2414H_1770302081.png
1770302082;05.02.2026 15:34;43;1;DELLU2414H_1770302082.png
1770302083;05.02.2026 15:34;43;1;DELLU2414H_1770302083.png
1770302084;05.02.2026 15:34;8;1;DELLU2414H_1770302084.png
1770302085;05.02.2026 15:34;8;1;DELLU2414H_1770302085.png
1770302086;05.02.2026 15:34;8;1;DELLU2414H_1770302086.png
1770302087;05.02.2026 15:34;7;0;DELLU2414H_1770302087.png
1770302088;05.02.2026 15:34;7;0;DELLU2414H_1770302088.png
1770302089;05.02.2026 15:34;8;1;DELLU2414H_1770302089.png
