timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770302717;2026-02-05 15:45:17;10;0.972;DELLU2414H_1770302717.png
1770302718;2026-02-05 15:45:18;14;0.997;DELLU2414H_1770302718.png
1770302719;2026-02-05 15:45:19;17;0.996;DELLU2414H_1770302719.png
1770302720;2026-02-05 15:45:20;17;0.996;DELLU2414H_1770302720.png
1770302721;2026-02-05 15:45:21;16;0.727;DELLU2414H_1770302721.png
1770302722;2026-02-05 15:45:22;10;0.971;DELLU2414H_1770302722.png
1770302723;2026-02-05 15:45:23;8;1.000;DELLU2414H_1770302723.png
1770302724;2026-02-05 15:45:24;9;1.000;DELLU2414H_1770302724.png
1770302725;2026-02-05 15:45:25;8;1.000;DELLU2414H_1770302725.png
1770302726;2026-02-05 15:45:26;10;0.971;DELLU2414H_1770302726.png
1770302727;2026-02-05 15:45:27;9;1.000;DELLU2414H_1770302727.png
1770302728;2026-02-05 15:45:28;8;1.000;DELLU2414H_1770302728.png
1770302729;2026-02-05 15:45:29;8;1.000;DELLU2414H_1770302729.png
1770302731;2026-02-05 15:45:31;8;1.000;DELLU2414H_1770302731.png
1770302732;2026-02-05 15:45:32;9;1.000;DELLU2414H_1770302732.png
1770302733;2026-02-05 15:45:33;11;0.452;DELLU2414H_1770302733.png
1770302734;2026-02-05 15:45:34;19;0.997;DELLU2414H_1770302734.png
1770302735;2026-02-05 15:45:35;13;0.996;DELLU2414H_1770302735.png
1770302736;2026-02-05 15:45:36;14;0.998;DELLU2414H_1770302736.png
1770302737;2026-02-05 15:45:37;12;0.999;DELLU2414H_1770302737.png
1770302738;2026-02-05 15:45:38;11;0.497;DELLU2414H_1770302738.png
1770302739;2026-02-05 15:45:39;12;0.999;DELLU2414H_1770302739.png
1770302740;2026-02-05 15:45:40;31;0.999;DELLU2414H_1770302740.png
1770302741;2026-02-05 15:45:41;14;0.997;DELLU2414H_1770302741.png
1770302742;2026-02-05 15:45:42;16;0.750;DELLU2414H_1770302742.png
1770302743;2026-02-05 15:45:43;15;0.997;DELLU2414H_1770302743.png
1770302744;2026-02-05 15:45:44;34;1.000;DELLU2414H_1770302744.png
1770302745;2026-02-05 15:45:45;18;0.999;DELLU2414H_1770302745.png
1770302746;2026-02-05 15:45:46;31;0.994;DELLU2414H_1770302746.png
