timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770472363;07.02.2026 14:52;9;1;DELLU2721DE_1770472363.png
1770472364;07.02.2026 14:52;9;1;DELLU2721DE_1770472364.png
1770472365;07.02.2026 14:52;9;1;DELLU2721DE_1770472365.png
1770472366;07.02.2026 14:52;9;1;DELLU2721DE_1770472366.png
1770472367;07.02.2026 14:52;11;0.991;DELLU2721DE_1770472367.png
1770472368;07.02.2026 14:52;9;1;DELLU2721DE_1770472368.png
1770472369;07.02.2026 14:52;9;1;DELLU2721DE_1770472369.png
1770472370;07.02.2026 14:52;9;1;DELLU2721DE_1770472370.png
1770472371;07.02.2026 14:52;18;1;DELLU2721DE_1770472371.png
1770472372;07.02.2026 14:52;160;0;DELLU2721DE_1770472372.png
1770472373;07.02.2026 14:52;22;1;DELLU2721DE_1770472373.png
1770472374;07.02.2026 14:52;10;0.997;DELLU2721DE_1770472374.png
1770472375;07.02.2026 14:52;9;1;DELLU2721DE_1770472375.png
1770472376;07.02.2026 14:52;9;1;DELLU2721DE_1770472376.png
1770472377;07.02.2026 14:52;9;1;DELLU2721DE_1770472377.png
1770472378;07.02.2026 14:52;9;1;DELLU2721DE_1770472378.png
1770472379;07.02.2026 14:52;20;1;DELLU2721DE_1770472379.png
1770472380;07.02.2026 14:53;10;0.997;DELLU2721DE_1770472380.png
1770472381;07.02.2026 14:53;9;1;DELLU2721DE_1770472381.png
1770472382;07.02.2026 14:53;9;1;DELLU2721DE_1770472382.png
1770472383;07.02.2026 14:53;9;1;DELLU2721DE_1770472383.png
1770472384;07.02.2026 14:53;9;1;DELLU2721DE_1770472384.png
1770472385;07.02.2026 14:53;9;1;DELLU2721DE_1770472385.png
1770472386;07.02.2026 14:53;9;1;DELLU2721DE_1770472386.png
1770472387;07.02.2026 14:53;10;0.996;DELLU2721DE_1770472387.png
1770472388;07.02.2026 14:53;9;1;DELLU2721DE_1770472388.png
1770472389;07.02.2026 14:53;9;1;DELLU2721DE_1770472389.png
1770472390;07.02.2026 14:53;9;1;DELLU2721DE_1770472390.png
1770472391;07.02.2026 14:53;9;1;DELLU2721DE_1770472391.png
1770472392;07.02.2026 14:53;9;1;DELLU2721DE_1770472392.png
1770472393;07.02.2026 14:53;9;1;DELLU2721DE_1770472393.png
1770472394;07.02.2026 14:53;9;1;DELLU2721DE_1770472394.png
1770472395;07.02.2026 14:53;9;1;DELLU2721DE_1770472395.png
1770472396;07.02.2026 14:53;15;0.998;DELLU2721DE_1770472396.png
1770472397;07.02.2026 14:53;9;1;DELLU2721DE_1770472397.png
1770472398;07.02.2026 14:53;10;0.997;DELLU2721DE_1770472398.png
1770472399;07.02.2026 14:53;9;1;DELLU2721DE_1770472399.png
1770472400;07.02.2026 14:53;9;1;DELLU2721DE_1770472400.png
1770472401;07.02.2026 14:53;9;1;DELLU2721DE_1770472401.png
1770472402;07.02.2026 14:53;9;1;DELLU2721DE_1770472402.png
1770472403;07.02.2026 14:53;9;1;DELLU2721DE_1770472403.png
1770472404;07.02.2026 14:53;9;1;DELLU2721DE_1770472404.png
1770472406;07.02.2026 14:53;9;1;DELLU2721DE_1770472406.png
1770472407;07.02.2026 14:53;9;1;DELLU2721DE_1770472407.png
1770472408;07.02.2026 14:53;9;1;DELLU2721DE_1770472408.png
1770472409;07.02.2026 14:53;9;1;DELLU2721DE_1770472409.png
1770472410;07.02.2026 14:53;9;1;DELLU2721DE_1770472410.png
1770472411;07.02.2026 14:53;9;1;DELLU2721DE_1770472411.png
1770472412;07.02.2026 14:53;9;1;DELLU2721DE_1770472412.png
1770472413;07.02.2026 14:53;9;1;DELLU2721DE_1770472413.png
1770472414;07.02.2026 14:53;9;1;DELLU2721DE_1770472414.png
1770472415;07.02.2026 14:53;9;1;DELLU2721DE_1770472415.png
1770472416;07.02.2026 14:53;9;1;DELLU2721DE_1770472416.png
1770472417;07.02.2026 14:53;36;1;DELLU2721DE_1770472417.png
1770472418;07.02.2026 14:53;22;0.462;DELLU2721DE_1770472418.png
1770472419;07.02.2026 14:53;10;0.997;DELLU2721DE_1770472419.png
1770472420;07.02.2026 14:53;9;1;DELLU2721DE_1770472420.png
1770472421;07.02.2026 14:53;9;1;DELLU2721DE_1770472421.png
1770472422;07.02.2026 14:53;9;1;DELLU2721DE_1770472422.png
1770472423;07.02.2026 14:53;9;1;DELLU2721DE_1770472423.png
1770472424;07.02.2026 14:53;9;1;DELLU2721DE_1770472424.png
1770472425;07.02.2026 14:53;9;1;DELLU2721DE_1770472425.png
1770472426;07.02.2026 14:53;9;1;DELLU2721DE_1770472426.png
1770472427;07.02.2026 14:53;9;1;DELLU2721DE_1770472427.png
1770472428;07.02.2026 14:53;10;0.998;DELLU2721DE_1770472428.png
1770472429;07.02.2026 14:53;9;1;DELLU2721DE_1770472429.png
1770472430;07.02.2026 14:53;9;1;DELLU2721DE_1770472430.png
1770472431;07.02.2026 14:53;9;1;DELLU2721DE_1770472431.png
1770472432;07.02.2026 14:53;9;1;DELLU2721DE_1770472432.png
1770472433;07.02.2026 14:53;9;1;DELLU2721DE_1770472433.png
1770472434;07.02.2026 14:53;17;0.998;DELLU2721DE_1770472434.png
1770472435;07.02.2026 14:53;10;0.997;DELLU2721DE_1770472435.png
1770472436;07.02.2026 14:53;9;1;DELLU2721DE_1770472436.png
1770472437;07.02.2026 14:53;9;1;DELLU2721DE_1770472437.png
1770472438;07.02.2026 14:53;9;1;DELLU2721DE_1770472438.png
1770472439;07.02.2026 14:53;9;1;DELLU2721DE_1770472439.png
1770472440;07.02.2026 14:54;9;1;DELLU2721DE_1770472440.png
1770472441;07.02.2026 14:54;9;1;DELLU2721DE_1770472441.png
1770472442;07.02.2026 14:54;9;1;DELLU2721DE_1770472442.png
1770472443;07.02.2026 14:54;9;1;DELLU2721DE_1770472443.png
1770472444;07.02.2026 14:54;9;1;DELLU2721DE_1770472444.png
1770472445;07.02.2026 14:54;9;1;DELLU2721DE_1770472445.png
1770472446;07.02.2026 14:54;9;1;DELLU2721DE_1770472446.png
1770472447;07.02.2026 14:54;9;1;DELLU2721DE_1770472447.png
1770472448;07.02.2026 14:54;19;1;DELLU2721DE_1770472448.png
1770472449;07.02.2026 14:54;10;0.999;DELLU2721DE_1770472449.png
1770472450;07.02.2026 14:54;10;0.999;DELLU2721DE_1770472450.png
1770472451;07.02.2026 14:54;9;1;DELLU2721DE_1770472451.png
1770472452;07.02.2026 14:54;9;1;DELLU2721DE_1770472452.png
1770472453;07.02.2026 14:54;9;1;DELLU2721DE_1770472453.png
1770472454;07.02.2026 14:54;9;1;DELLU2721DE_1770472454.png
1770472455;07.02.2026 14:54;9;1;DELLU2721DE_1770472455.png
1770472456;07.02.2026 14:54;9;1;DELLU2721DE_1770472456.png
1770472457;07.02.2026 14:54;9;1;DELLU2721DE_1770472457.png
1770472458;07.02.2026 14:54;9;1;DELLU2721DE_1770472458.png
1770472459;07.02.2026 14:54;9;1;DELLU2721DE_1770472459.png
1770472460;07.02.2026 14:54;9;1;DELLU2721DE_1770472460.png
1770472461;07.02.2026 14:54;9;1;DELLU2721DE_1770472461.png
1770472463;07.02.2026 14:54;9;1;DELLU2721DE_1770472463.png
1770472464;07.02.2026 14:54;9;1;DELLU2721DE_1770472464.png
1770472465;07.02.2026 14:54;9;1;DELLU2721DE_1770472465.png
1770472466;07.02.2026 14:54;9;1;DELLU2721DE_1770472466.png
1770472467;07.02.2026 14:54;9;1;DELLU2721DE_1770472467.png
1770472468;07.02.2026 14:54;9;1;DELLU2721DE_1770472468.png
