timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1770752410;2026-02-10 20:40:10;17;0.998;DELLU2721DE_1770752410.png
1770752412;2026-02-10 20:40:12;13;1.000;DELLU2721DE_1770752412.png
1770752413;2026-02-10 20:40:13;13;1.000;DELLU2721DE_1770752413.png
1770752414;2026-02-10 20:40:14;14;1.000;DELLU2721DE_1770752414.png
1770752415;2026-02-10 20:40:15;20;1.000;DELLU2721DE_1770752415.png
1770752416;2026-02-10 20:40:16;14;1.000;DELLU2721DE_1770752416.png
1770752417;2026-02-10 20:40:17;27;1.000;DELLU2721DE_1770752417.png
1770752418;2026-02-10 20:40:18;26;1.000;DELLU2721DE_1770752418.png
1770752419;2026-02-10 20:40:19;29;1.000;DELLU2721DE_1770752419.png
1770752420;2026-02-10 20:40:20;29;1.000;DELLU2721DE_1770752420.png
1770752421;2026-02-10 20:40:21;38;1.000;DELLU2721DE_1770752421.png
1770752422;2026-02-10 20:40:22;31;1.000;DELLU2721DE_1770752422.png
1770752423;2026-02-10 20:40:23;27;1.000;DELLU2721DE_1770752423.png
1770752424;2026-02-10 20:40:24;26;1.000;DELLU2721DE_1770752424.png
1770752425;2026-02-10 20:40:25;26;0.990;DELLU2721DE_1770752425.png
1770752426;2026-02-10 20:40:26;33;1.000;DELLU2721DE_1770752426.png
1770752427;2026-02-10 20:40:27;32;1.000;DELLU2721DE_1770752427.png
1770752428;2026-02-10 20:40:28;31;1.000;DELLU2721DE_1770752428.png
1770752429;2026-02-10 20:40:29;31;1.000;DELLU2721DE_1770752429.png
1770752430;2026-02-10 20:40:30;31;0.999;DELLU2721DE_1770752430.png
1770752431;2026-02-10 20:40:31;38;1.000;DELLU2721DE_1770752431.png
1770752432;2026-02-10 20:40:32;35;1.000;DELLU2721DE_1770752432.png
1770752433;2026-02-10 20:40:33;34;1.000;DELLU2721DE_1770752433.png
1770752434;2026-02-10 20:40:34;31;1.000;DELLU2721DE_1770752434.png
1770752435;2026-02-10 20:40:35;30;1.000;DELLU2721DE_1770752435.png
1770752436;2026-02-10 20:40:36;38;1.000;DELLU2721DE_1770752436.png
1770752437;2026-02-10 20:40:37;30;1.000;DELLU2721DE_1770752437.png
1770752438;2026-02-10 20:40:38;37;1.000;DELLU2721DE_1770752438.png
1770752439;2026-02-10 20:40:39;33;1.000;DELLU2721DE_1770752439.png
1770752440;2026-02-10 20:40:40;33;0.998;DELLU2721DE_1770752440.png
1770752441;2026-02-10 20:40:41;32;1.000;DELLU2721DE_1770752441.png
1770752442;2026-02-10 20:40:42;31;1.000;DELLU2721DE_1770752442.png
1770752443;2026-02-10 20:40:43;34;1.000;DELLU2721DE_1770752443.png
1770752444;2026-02-10 20:40:44;36;1.000;DELLU2721DE_1770752444.png
1770752445;2026-02-10 20:40:45;34;1.000;DELLU2721DE_1770752445.png
1770752446;2026-02-10 20:40:46;28;1.000;DELLU2721DE_1770752446.png
1770752447;2026-02-10 20:40:47;28;1.000;DELLU2721DE_1770752447.png
