timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771516015;19.02.2026 16:46;12;0.997;DELLU2414H_1771516015.png
1771516016;19.02.2026 16:46;7;0;DELLU2414H_1771516016.png
1771516017;19.02.2026 16:46;6;1;DELLU2414H_1771516017.png
1771516018;19.02.2026 16:46;6;1;DELLU2414H_1771516018.png
1771516019;19.02.2026 16:46;6;1;DELLU2414H_1771516019.png
1771516020;19.02.2026 16:47;6;1;DELLU2414H_1771516020.png
1771516021;19.02.2026 16:47;6;1;DELLU2414H_1771516021.png
1771516022;19.02.2026 16:47;6;1;DELLU2414H_1771516022.png
1771516023;19.02.2026 16:47;47;1;DELLU2414H_1771516023.png
1771516024;19.02.2026 16:47;23;1;DELLU2414H_1771516024.png
1771516025;19.02.2026 16:47;7;0;DELLU2414H_1771516025.png
1771516026;19.02.2026 16:47;6;1;DELLU2414H_1771516026.png
1771516027;19.02.2026 16:47;10;0.997;DELLU2414H_1771516027.png
1771516028;19.02.2026 16:47;8;1;DELLU2414H_1771516028.png
1771516029;19.02.2026 16:47;9;1;DELLU2414H_1771516029.png
1771516030;19.02.2026 16:47;7;0;DELLU2414H_1771516030.png
1771516031;19.02.2026 16:47;7;0;DELLU2414H_1771516031.png
1771516032;19.02.2026 16:47;7;0;DELLU2414H_1771516032.png
1771516033;19.02.2026 16:47;6;1;DELLU2414H_1771516033.png
1771516034;19.02.2026 16:47;10;0.995;DELLU2414H_1771516034.png
1771516035;19.02.2026 16:47;16;0.998;DELLU2414H_1771516035.png
1771516036;19.02.2026 16:47;7;0;DELLU2414H_1771516036.png
1771516037;19.02.2026 16:47;6;1;DELLU2414H_1771516037.png
1771516038;19.02.2026 16:47;6;1;DELLU2414H_1771516038.png
1771516039;19.02.2026 16:47;16;0.998;DELLU2414H_1771516039.png
1771516040;19.02.2026 16:47;7;0;DELLU2414H_1771516040.png
1771516041;19.02.2026 16:47;6;1;DELLU2414H_1771516041.png
1771516042;19.02.2026 16:47;6;1;DELLU2414H_1771516042.png
1771516043;19.02.2026 16:47;6;1;DELLU2414H_1771516043.png
1771516044;19.02.2026 16:47;6;1;DELLU2414H_1771516044.png
1771516045;19.02.2026 16:47;14;1;DELLU2414H_1771516045.png
1771516046;19.02.2026 16:47;7;0;DELLU2414H_1771516046.png
1771516047;19.02.2026 16:47;336;1;DELLU2414H_1771516047.png
1771516048;19.02.2026 16:47;11;0.899;DELLU2414H_1771516048.png
1771516049;19.02.2026 16:47;9;1;DELLU2414H_1771516049.png
1771516050;19.02.2026 16:47;9;1;DELLU2414H_1771516050.png
1771516051;19.02.2026 16:47;19;1;DELLU2414H_1771516051.png
1771516052;19.02.2026 16:47;7;0;DELLU2414H_1771516052.png
1771516053;19.02.2026 16:47;7;0;DELLU2414H_1771516053.png
1771516054;19.02.2026 16:47;9;1;DELLU2414H_1771516054.png
1771516055;19.02.2026 16:47;10;0.997;DELLU2414H_1771516055.png
1771516056;19.02.2026 16:47;6;1;DELLU2414H_1771516056.png
1771516057;19.02.2026 16:47;28;1;DELLU2414H_1771516057.png
1771516058;19.02.2026 16:47;8;1;DELLU2414H_1771516058.png
1771516059;19.02.2026 16:47;14;1;DELLU2414H_1771516059.png
1771516060;19.02.2026 16:47;8;1;DELLU2414H_1771516060.png
1771516061;19.02.2026 16:47;8;1;DELLU2414H_1771516061.png
1771516062;19.02.2026 16:47;13;1;DELLU2414H_1771516062.png
1771516063;19.02.2026 16:47;9;1;DELLU2414H_1771516063.png
1771516064;19.02.2026 16:47;9;1;DELLU2414H_1771516064.png
