timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771511196;19.02.2026 15:26;7;0;DELLU2414H_1771511196.png
1771511197;19.02.2026 15:26;7;0;DELLU2414H_1771511197.png
1771511198;19.02.2026 15:26;7;0;DELLU2414H_1771511198.png
1771511199;19.02.2026 15:26;7;0;DELLU2414H_1771511199.png
1771511200;19.02.2026 15:26;7;0;DELLU2414H_1771511200.png
1771511201;19.02.2026 15:26;7;0;DELLU2414H_1771511201.png
1771511202;19.02.2026 15:26;7;0;DELLU2414H_1771511202.png
1771511203;19.02.2026 15:26;7;0;DELLU2414H_1771511203.png
1771511204;19.02.2026 15:26;7;0;DELLU2414H_1771511204.png
1771511205;19.02.2026 15:26;7;0;DELLU2414H_1771511205.png
1771511206;19.02.2026 15:26;7;0;DELLU2414H_1771511206.png
1771511207;19.02.2026 15:26;7;0;DELLU2414H_1771511207.png
1771511208;19.02.2026 15:26;50;1;DELLU2414H_1771511208.png
1771511209;19.02.2026 15:26;50;1;DELLU2414H_1771511209.png
1771511210;19.02.2026 15:26;8;1;DELLU2414H_1771511210.png
1771511211;19.02.2026 15:26;7;0;DELLU2414H_1771511211.png
1771511212;19.02.2026 15:26;8;1;DELLU2414H_1771511212.png
1771511213;19.02.2026 15:26;7;0;DELLU2414H_1771511213.png
1771511214;19.02.2026 15:26;7;0;DELLU2414H_1771511214.png
1771511215;19.02.2026 15:26;7;0;DELLU2414H_1771511215.png
1771511216;19.02.2026 15:26;7;0;DELLU2414H_1771511216.png
1771511217;19.02.2026 15:26;7;0;DELLU2414H_1771511217.png
1771511218;19.02.2026 15:26;7;0;DELLU2414H_1771511218.png
1771511219;19.02.2026 15:26;47;1;DELLU2414H_1771511219.png
1771511220;19.02.2026 15:27;10;0.997;DELLU2414H_1771511220.png
1771511221;19.02.2026 15:27;23;1;DELLU2414H_1771511221.png
1771511222;19.02.2026 15:27;12;0.997;DELLU2414H_1771511222.png
1771511223;19.02.2026 15:27;14;1;DELLU2414H_1771511223.png
1771511224;19.02.2026 15:27;36;1;DELLU2414H_1771511224.png
1771511225;19.02.2026 15:27;10;0.997;DELLU2414H_1771511225.png
1771511226;19.02.2026 15:27;7;0;DELLU2414H_1771511226.png
1771511227;19.02.2026 15:27;7;0;DELLU2414H_1771511227.png
1771511228;19.02.2026 15:27;7;0;DELLU2414H_1771511228.png
1771511229;19.02.2026 15:27;7;0;DELLU2414H_1771511229.png
1771511230;19.02.2026 15:27;7;0;DELLU2414H_1771511230.png
1771511231;19.02.2026 15:27;7;0;DELLU2414H_1771511231.png
1771511232;19.02.2026 15:27;16;0.998;DELLU2414H_1771511232.png
1771511233;19.02.2026 15:27;12;0.997;DELLU2414H_1771511233.png
1771511234;19.02.2026 15:27;7;0;DELLU2414H_1771511234.png
1771511235;19.02.2026 15:27;7;0;DELLU2414H_1771511235.png
1771511236;19.02.2026 15:27;7;0;DELLU2414H_1771511236.png
1771511237;19.02.2026 15:27;7;0;DELLU2414H_1771511237.png
1771511238;19.02.2026 15:27;7;0;DELLU2414H_1771511238.png
1771511239;19.02.2026 15:27;8;1;DELLU2414H_1771511239.png
1771511240;19.02.2026 15:27;8;1;DELLU2414H_1771511240.png
