timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771512099;19.02.2026 15:41;14;1;DELLU2414H_1771512099.png
1771512100;19.02.2026 15:41;7;0;DELLU2414H_1771512100.png
1771512101;19.02.2026 15:41;7;0;DELLU2414H_1771512101.png
1771512102;19.02.2026 15:41;7;0;DELLU2414H_1771512102.png
1771512103;19.02.2026 15:41;7;0;DELLU2414H_1771512103.png
1771512104;19.02.2026 15:41;21;1;DELLU2414H_1771512104.png
1771512105;19.02.2026 15:41;8;1;DELLU2414H_1771512105.png
1771512106;19.02.2026 15:41;7;0;DELLU2414H_1771512106.png
1771512107;19.02.2026 15:41;7;0;DELLU2414H_1771512107.png
1771512108;19.02.2026 15:41;7;0;DELLU2414H_1771512108.png
1771512109;19.02.2026 15:41;7;0;DELLU2414H_1771512109.png
1771512110;19.02.2026 15:41;7;0;DELLU2414H_1771512110.png
1771512111;19.02.2026 15:41;7;0;DELLU2414H_1771512111.png
1771512112;19.02.2026 15:41;7;0;DELLU2414H_1771512112.png
1771512113;19.02.2026 15:41;7;0;DELLU2414H_1771512113.png
1771512114;19.02.2026 15:41;7;0;DELLU2414H_1771512114.png
1771512115;19.02.2026 15:41;7;0;DELLU2414H_1771512115.png
1771512116;19.02.2026 15:41;7;0;DELLU2414H_1771512116.png
1771512117;19.02.2026 15:41;7;0;DELLU2414H_1771512117.png
1771512118;19.02.2026 15:41;7;0;DELLU2414H_1771512118.png
1771512119;19.02.2026 15:41;7;0;DELLU2414H_1771512119.png
1771512120;19.02.2026 15:42;7;0;DELLU2414H_1771512120.png
1771512121;19.02.2026 15:42;7;0;DELLU2414H_1771512121.png
1771512122;19.02.2026 15:42;7;0;DELLU2414H_1771512122.png
1771512123;19.02.2026 15:42;7;0;DELLU2414H_1771512123.png
1771512124;19.02.2026 15:42;9;1;DELLU2414H_1771512124.png
1771512125;19.02.2026 15:42;16;0.998;DELLU2414H_1771512125.png
1771512126;19.02.2026 15:42;12;0.997;DELLU2414H_1771512126.png
1771512127;19.02.2026 15:42;14;1;DELLU2414H_1771512127.png
1771512128;19.02.2026 15:42;12;0.997;DELLU2414H_1771512128.png
1771512129;19.02.2026 15:42;29;1;DELLU2414H_1771512129.png
1771512130;19.02.2026 15:42;17;1;DELLU2414H_1771512130.png
1771512131;19.02.2026 15:42;11;0.903;DELLU2414H_1771512131.png
1771512133;19.02.2026 15:42;8;1;DELLU2414H_1771512133.png
