timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771511470;19.02.2026 15:31;7;0;DELLU2414H_1771511470.png
1771511471;19.02.2026 15:31;7;0;DELLU2414H_1771511471.png
1771511472;19.02.2026 15:31;8;1;DELLU2414H_1771511472.png
1771511473;19.02.2026 15:31;7;0;DELLU2414H_1771511473.png
1771511474;19.02.2026 15:31;7;0;DELLU2414H_1771511474.png
1771511475;19.02.2026 15:31;7;0;DELLU2414H_1771511475.png
1771511476;19.02.2026 15:31;7;0;DELLU2414H_1771511476.png
1771511477;19.02.2026 15:31;7;0;DELLU2414H_1771511477.png
1771511478;19.02.2026 15:31;7;0;DELLU2414H_1771511478.png
1771511479;19.02.2026 15:31;7;0;DELLU2414H_1771511479.png
1771511480;19.02.2026 15:31;7;0;DELLU2414H_1771511480.png
1771511481;19.02.2026 15:31;6;1;DELLU2414H_1771511481.png
1771511483;19.02.2026 15:31;7;0;DELLU2414H_1771511483.png
1771511484;19.02.2026 15:31;27;1;DELLU2414H_1771511484.png
1771511485;19.02.2026 15:31;9;1;DELLU2414H_1771511485.png
1771511486;19.02.2026 15:31;7;0;DELLU2414H_1771511486.png
1771511487;19.02.2026 15:31;7;0;DELLU2414H_1771511487.png
1771511488;19.02.2026 15:31;7;0;DELLU2414H_1771511488.png
1771511489;19.02.2026 15:31;31;1;DELLU2414H_1771511489.png
1771511490;19.02.2026 15:31;16;0.998;DELLU2414H_1771511490.png
1771511491;19.02.2026 15:31;8;1;DELLU2414H_1771511491.png
1771511492;19.02.2026 15:31;9;1;DELLU2414H_1771511492.png
1771511493;19.02.2026 15:31;11;0.897;DELLU2414H_1771511493.png
1771511494;19.02.2026 15:31;7;0;DELLU2414H_1771511494.png
1771511495;19.02.2026 15:31;21;0.999;DELLU2414H_1771511495.png
1771511496;19.02.2026 15:31;17;0.999;DELLU2414H_1771511496.png
1771511497;19.02.2026 15:31;8;1;DELLU2414H_1771511497.png
1771511498;19.02.2026 15:31;7;0;DELLU2414H_1771511498.png
1771511499;19.02.2026 15:31;7;0;DELLU2414H_1771511499.png
1771511500;19.02.2026 15:31;7;0;DELLU2414H_1771511500.png
1771511501;19.02.2026 15:31;7;0;DELLU2414H_1771511501.png
1771511502;19.02.2026 15:31;7;0;DELLU2414H_1771511502.png
1771511503;19.02.2026 15:31;7;0;DELLU2414H_1771511503.png
1771511504;19.02.2026 15:31;7;0;DELLU2414H_1771511504.png
1771511505;19.02.2026 15:31;7;0;DELLU2414H_1771511505.png
1771511506;19.02.2026 15:31;7;0;DELLU2414H_1771511506.png
1771511507;19.02.2026 15:31;7;0;DELLU2414H_1771511507.png
1771511508;19.02.2026 15:31;8;1;DELLU2414H_1771511508.png
1771511509;19.02.2026 15:31;7;0;DELLU2414H_1771511509.png
1771511510;19.02.2026 15:31;7;0;DELLU2414H_1771511510.png
1771511511;19.02.2026 15:31;7;0;DELLU2414H_1771511511.png
1771511512;19.02.2026 15:31;19;1;DELLU2414H_1771511512.png
1771511513;19.02.2026 15:31;8;1;DELLU2414H_1771511513.png
1771511514;19.02.2026 15:31;8;1;DELLU2414H_1771511514.png
1771511515;19.02.2026 15:31;14;1;DELLU2414H_1771511515.png
1771511516;19.02.2026 15:31;35;1;DELLU2414H_1771511516.png
1771511517;19.02.2026 15:31;44;1;DELLU2414H_1771511517.png
1771511518;19.02.2026 15:31;41;0.999;DELLU2414H_1771511518.png
1771511519;19.02.2026 15:31;16;0.998;DELLU2414H_1771511519.png
1771511520;19.02.2026 15:32;12;0.997;DELLU2414H_1771511520.png
1771511521;19.02.2026 15:32;14;1;DELLU2414H_1771511521.png
1771511522;19.02.2026 15:32;12;0.997;DELLU2414H_1771511522.png
1771511523;19.02.2026 15:32;30;1;DELLU2414H_1771511523.png
1771511524;19.02.2026 15:32;9;1;DELLU2414H_1771511524.png
1771511525;19.02.2026 15:32;44;1;DELLU2414H_1771511525.png
1771511526;19.02.2026 15:32;16;0.999;DELLU2414H_1771511526.png
1771511527;19.02.2026 15:32;9;1;DELLU2414H_1771511527.png
1771511528;19.02.2026 15:32;8;1;DELLU2414H_1771511528.png
1771511529;19.02.2026 15:32;10;0.997;DELLU2414H_1771511529.png
1771511530;19.02.2026 15:32;7;0;DELLU2414H_1771511530.png
1771511531;19.02.2026 15:32;6;1;DELLU2414H_1771511531.png
1771511532;19.02.2026 15:32;7;0;DELLU2414H_1771511532.png
1771511533;19.02.2026 15:32;30;1;DELLU2414H_1771511533.png
1771511534;19.02.2026 15:32;9;1;DELLU2414H_1771511534.png
1771511535;19.02.2026 15:32;7;0;DELLU2414H_1771511535.png
1771511536;19.02.2026 15:32;7;0;DELLU2414H_1771511536.png
1771511537;19.02.2026 15:32;39;1;DELLU2414H_1771511537.png
1771511538;19.02.2026 15:32;24;1;DELLU2414H_1771511538.png
1771511539;19.02.2026 15:32;9;1;DELLU2414H_1771511539.png
1771511540;19.02.2026 15:32;7;0;DELLU2414H_1771511540.png
1771511541;19.02.2026 15:32;15;1;DELLU2414H_1771511541.png
1771511542;19.02.2026 15:32;21;0.999;DELLU2414H_1771511542.png
1771511543;19.02.2026 15:32;44;0.978;DELLU2414H_1771511543.png
1771511544;19.02.2026 15:32;13;1;DELLU2414H_1771511544.png
1771511546;19.02.2026 15:32;8;1;DELLU2414H_1771511546.png
1771511547;19.02.2026 15:32;7;0;DELLU2414H_1771511547.png
1771511548;19.02.2026 15:32;7;0;DELLU2414H_1771511548.png
1771511549;19.02.2026 15:32;7;0;DELLU2414H_1771511549.png
1771511550;19.02.2026 15:32;8;1;DELLU2414H_1771511550.png
1771511551;19.02.2026 15:32;11;0.905;DELLU2414H_1771511551.png
1771511552;19.02.2026 15:32;8;1;DELLU2414H_1771511552.png
1771511553;19.02.2026 15:32;8;1;DELLU2414H_1771511553.png
1771511554;19.02.2026 15:32;7;0;DELLU2414H_1771511554.png
1771511555;19.02.2026 15:32;7;0;DELLU2414H_1771511555.png
1771511556;19.02.2026 15:32;8;1;DELLU2414H_1771511556.png
1771511557;19.02.2026 15:32;8;1;DELLU2414H_1771511557.png
1771511558;19.02.2026 15:32;8;1;DELLU2414H_1771511558.png
1771511559;19.02.2026 15:32;7;0;DELLU2414H_1771511559.png
1771511560;19.02.2026 15:32;7;0;DELLU2414H_1771511560.png
1771511561;19.02.2026 15:32;7;0;DELLU2414H_1771511561.png
1771511562;19.02.2026 15:32;37;1;DELLU2414H_1771511562.png
1771511563;19.02.2026 15:32;14;1;DELLU2414H_1771511563.png
1771511564;19.02.2026 15:32;8;1;DELLU2414H_1771511564.png
1771511565;19.02.2026 15:32;7;0;DELLU2414H_1771511565.png
1771511566;19.02.2026 15:32;7;0;DELLU2414H_1771511566.png
1771511567;19.02.2026 15:32;7;0;DELLU2414H_1771511567.png
1771511568;19.02.2026 15:32;7;0;DELLU2414H_1771511568.png
1771511569;19.02.2026 15:32;7;0;DELLU2414H_1771511569.png
1771511570;19.02.2026 15:32;7;0;DELLU2414H_1771511570.png
1771511571;19.02.2026 15:32;8;1;DELLU2414H_1771511571.png
1771511572;19.02.2026 15:32;52;1;DELLU2414H_1771511572.png
1771511573;19.02.2026 15:32;102;1;DELLU2414H_1771511573.png
1771511574;19.02.2026 15:32;17;0.999;DELLU2414H_1771511574.png
1771511575;19.02.2026 15:32;9;1;DELLU2414H_1771511575.png
1771511576;19.02.2026 15:32;7;0;DELLU2414H_1771511576.png
1771511577;19.02.2026 15:32;7;0;DELLU2414H_1771511577.png
1771511578;19.02.2026 15:32;7;0;DELLU2414H_1771511578.png
1771511579;19.02.2026 15:32;8;1;DELLU2414H_1771511579.png
1771511580;19.02.2026 15:33;7;0;DELLU2414H_1771511580.png
1771511581;19.02.2026 15:33;8;1;DELLU2414H_1771511581.png
1771511582;19.02.2026 15:33;7;0;DELLU2414H_1771511582.png
1771511583;19.02.2026 15:33;7;0;DELLU2414H_1771511583.png
1771511584;19.02.2026 15:33;7;0;DELLU2414H_1771511584.png
1771511585;19.02.2026 15:33;7;0;DELLU2414H_1771511585.png
1771511586;19.02.2026 15:33;7;0;DELLU2414H_1771511586.png
1771511587;19.02.2026 15:33;53;0.968;DELLU2414H_1771511587.png
1771511588;19.02.2026 15:33;11;0.927;DELLU2414H_1771511588.png
1771511589;19.02.2026 15:33;7;0;DELLU2414H_1771511589.png
1771511590;19.02.2026 15:33;8;1;DELLU2414H_1771511590.png
1771511591;19.02.2026 15:33;7;0;DELLU2414H_1771511591.png
1771511592;19.02.2026 15:33;30;1;DELLU2414H_1771511592.png
1771511593;19.02.2026 15:33;10;0.997;DELLU2414H_1771511593.png
1771511594;19.02.2026 15:33;8;1;DELLU2414H_1771511594.png
1771511595;19.02.2026 15:33;7;0;DELLU2414H_1771511595.png
1771511596;19.02.2026 15:33;7;0;DELLU2414H_1771511596.png
1771511597;19.02.2026 15:33;7;0;DELLU2414H_1771511597.png
1771511598;19.02.2026 15:33;7;0;DELLU2414H_1771511598.png
1771511599;19.02.2026 15:33;7;0;DELLU2414H_1771511599.png
1771511600;19.02.2026 15:33;7;0;DELLU2414H_1771511600.png
1771511601;19.02.2026 15:33;7;0;DELLU2414H_1771511601.png
1771511602;19.02.2026 15:33;7;0;DELLU2414H_1771511602.png
1771511603;19.02.2026 15:33;7;0;DELLU2414H_1771511603.png
1771511604;19.02.2026 15:33;7;0;DELLU2414H_1771511604.png
1771511605;19.02.2026 15:33;7;0;DELLU2414H_1771511605.png
1771511606;19.02.2026 15:33;7;0;DELLU2414H_1771511606.png
1771511607;19.02.2026 15:33;7;0;DELLU2414H_1771511607.png
1771511609;19.02.2026 15:33;7;0;DELLU2414H_1771511609.png
1771511610;19.02.2026 15:33;45;1;DELLU2414H_1771511610.png
1771511611;19.02.2026 15:33;81;1;DELLU2414H_1771511611.png
1771511612;19.02.2026 15:33;23;1;DELLU2414H_1771511612.png
1771511613;19.02.2026 15:33;8;1;DELLU2414H_1771511613.png
1771511614;19.02.2026 15:33;8;1;DELLU2414H_1771511614.png
1771511615;19.02.2026 15:33;8;1;DELLU2414H_1771511615.png
1771511616;19.02.2026 15:33;7;0;DELLU2414H_1771511616.png
1771511617;19.02.2026 15:33;7;0;DELLU2414H_1771511617.png
1771511618;19.02.2026 15:33;7;0;DELLU2414H_1771511618.png
1771511619;19.02.2026 15:33;7;0;DELLU2414H_1771511619.png
1771511620;19.02.2026 15:33;7;0;DELLU2414H_1771511620.png
1771511621;19.02.2026 15:33;7;0;DELLU2414H_1771511621.png
1771511622;19.02.2026 15:33;7;0;DELLU2414H_1771511622.png
1771511623;19.02.2026 15:33;7;0;DELLU2414H_1771511623.png
1771511624;19.02.2026 15:33;7;0;DELLU2414H_1771511624.png
1771511625;19.02.2026 15:33;7;0;DELLU2414H_1771511625.png
1771511626;19.02.2026 15:33;7;0;DELLU2414H_1771511626.png
1771511627;19.02.2026 15:33;7;0;DELLU2414H_1771511627.png
1771511628;19.02.2026 15:33;7;0;DELLU2414H_1771511628.png
1771511629;19.02.2026 15:33;7;0;DELLU2414H_1771511629.png
1771511630;19.02.2026 15:33;57;1;DELLU2414H_1771511630.png
1771511631;19.02.2026 15:33;14;1;DELLU2414H_1771511631.png
1771511632;19.02.2026 15:33;10;0.997;DELLU2414H_1771511632.png
1771511633;19.02.2026 15:33;8;1;DELLU2414H_1771511633.png
1771511634;19.02.2026 15:33;7;0;DELLU2414H_1771511634.png
1771511635;19.02.2026 15:33;21;0.999;DELLU2414H_1771511635.png
1771511636;19.02.2026 15:33;51;1;DELLU2414H_1771511636.png
1771511637;19.02.2026 15:33;14;1;DELLU2414H_1771511637.png
1771511638;19.02.2026 15:33;8;1;DELLU2414H_1771511638.png
1771511639;19.02.2026 15:33;7;0;DELLU2414H_1771511639.png
1771511640;19.02.2026 15:34;7;0;DELLU2414H_1771511640.png
1771511641;19.02.2026 15:34;7;0;DELLU2414H_1771511641.png
1771511642;19.02.2026 15:34;8;1;DELLU2414H_1771511642.png
