timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771511773;19.02.2026 15:36;7;0;DELLU2414H_1771511773.png
1771511774;19.02.2026 15:36;7;0;DELLU2414H_1771511774.png
1771511775;19.02.2026 15:36;7;0;DELLU2414H_1771511775.png
1771511776;19.02.2026 15:36;7;0;DELLU2414H_1771511776.png
1771511777;19.02.2026 15:36;7;0;DELLU2414H_1771511777.png
1771511778;19.02.2026 15:36;7;0;DELLU2414H_1771511778.png
1771511779;19.02.2026 15:36;7;0;DELLU2414H_1771511779.png
1771511780;19.02.2026 15:36;7;0;DELLU2414H_1771511780.png
1771511781;19.02.2026 15:36;10;0.996;DELLU2414H_1771511781.png
1771511782;19.02.2026 15:36;7;0;DELLU2414H_1771511782.png
1771511783;19.02.2026 15:36;7;0;DELLU2414H_1771511783.png
1771511784;19.02.2026 15:36;26;1;DELLU2414H_1771511784.png
1771511785;19.02.2026 15:36;13;0.451;DELLU2414H_1771511785.png
1771511786;19.02.2026 15:36;16;0.999;DELLU2414H_1771511786.png
1771511787;19.02.2026 15:36;16;0.998;DELLU2414H_1771511787.png
1771511788;19.02.2026 15:36;9;1;DELLU2414H_1771511788.png
1771511789;19.02.2026 15:36;7;0;DELLU2414H_1771511789.png
1771511790;19.02.2026 15:36;7;0;DELLU2414H_1771511790.png
1771511791;19.02.2026 15:36;10;0.997;DELLU2414H_1771511791.png
1771511792;19.02.2026 15:36;7;0;DELLU2414H_1771511792.png
1771511793;19.02.2026 15:36;9;1;DELLU2414H_1771511793.png
1771511794;19.02.2026 15:36;7;0;DELLU2414H_1771511794.png
1771511795;19.02.2026 15:36;7;0;DELLU2414H_1771511795.png
1771511796;19.02.2026 15:36;7;0;DELLU2414H_1771511796.png
1771511797;19.02.2026 15:36;19;1;DELLU2414H_1771511797.png
1771511798;19.02.2026 15:36;9;1;DELLU2414H_1771511798.png
1771511799;19.02.2026 15:36;7;0;DELLU2414H_1771511799.png
1771511800;19.02.2026 15:36;8;1;DELLU2414H_1771511800.png
1771511801;19.02.2026 15:36;8;1;DELLU2414H_1771511801.png
1771511802;19.02.2026 15:36;7;0;DELLU2414H_1771511802.png
1771511803;19.02.2026 15:36;8;1;DELLU2414H_1771511803.png
1771511804;19.02.2026 15:36;38;1;DELLU2414H_1771511804.png
1771511805;19.02.2026 15:36;11;0.903;DELLU2414H_1771511805.png
1771511806;19.02.2026 15:36;7;0;DELLU2414H_1771511806.png
1771511807;19.02.2026 15:36;7;0;DELLU2414H_1771511807.png
1771511808;19.02.2026 15:36;7;0;DELLU2414H_1771511808.png
1771511809;19.02.2026 15:36;15;1;DELLU2414H_1771511809.png
1771511810;19.02.2026 15:36;8;1;DELLU2414H_1771511810.png
1771511811;19.02.2026 15:36;7;0;DELLU2414H_1771511811.png
1771511812;19.02.2026 15:36;12;0.997;DELLU2414H_1771511812.png
1771511813;19.02.2026 15:36;7;0;DELLU2414H_1771511813.png
1771511814;19.02.2026 15:36;7;0;DELLU2414H_1771511814.png
1771511815;19.02.2026 15:36;7;0;DELLU2414H_1771511815.png
1771511816;19.02.2026 15:36;7;0;DELLU2414H_1771511816.png
1771511817;19.02.2026 15:36;7;0;DELLU2414H_1771511817.png
1771511818;19.02.2026 15:36;79;1;DELLU2414H_1771511818.png
1771511819;19.02.2026 15:36;103;1;DELLU2414H_1771511819.png
1771511820;19.02.2026 15:37;18;1;DELLU2414H_1771511820.png
1771511821;19.02.2026 15:37;8;1;DELLU2414H_1771511821.png
1771511822;19.02.2026 15:37;7;0;DELLU2414H_1771511822.png
1771511823;19.02.2026 15:37;7;0;DELLU2414H_1771511823.png
1771511824;19.02.2026 15:37;8;1;DELLU2414H_1771511824.png
1771511825;19.02.2026 15:37;7;0;DELLU2414H_1771511825.png
1771511826;19.02.2026 15:37;7;0;DELLU2414H_1771511826.png
1771511827;19.02.2026 15:37;7;0;DELLU2414H_1771511827.png
1771511828;19.02.2026 15:37;28;1;DELLU2414H_1771511828.png
1771511829;19.02.2026 15:37;8;1;DELLU2414H_1771511829.png
1771511830;19.02.2026 15:37;11;0.885;DELLU2414H_1771511830.png
1771511831;19.02.2026 15:37;8;1;DELLU2414H_1771511831.png
1771511832;19.02.2026 15:37;21;0.999;DELLU2414H_1771511832.png
1771511833;19.02.2026 15:37;221;0.684;DELLU2414H_1771511833.png
1771511835;19.02.2026 15:37;329;0.656;DELLU2414H_1771511835.png
1771511836;19.02.2026 15:37;229;1;DELLU2414H_1771511836.png
1771511837;19.02.2026 15:37;50;1;DELLU2414H_1771511837.png
1771511838;19.02.2026 15:37;13;1;DELLU2414H_1771511838.png
1771511839;19.02.2026 15:37;8;1;DELLU2414H_1771511839.png
1771511840;19.02.2026 15:37;7;0;DELLU2414H_1771511840.png
1771511841;19.02.2026 15:37;7;0;DELLU2414H_1771511841.png
1771511842;19.02.2026 15:37;93;1;DELLU2414H_1771511842.png
1771511843;19.02.2026 15:37;167;1;DELLU2414H_1771511843.png
1771511844;19.02.2026 15:37;36;1;DELLU2414H_1771511844.png
1771511845;19.02.2026 15:37;9;1;DELLU2414H_1771511845.png
1771511846;19.02.2026 15:37;7;0;DELLU2414H_1771511846.png
1771511847;19.02.2026 15:37;7;0;DELLU2414H_1771511847.png
1771511848;19.02.2026 15:37;7;0;DELLU2414H_1771511848.png
1771511849;19.02.2026 15:37;7;0;DELLU2414H_1771511849.png
1771511850;19.02.2026 15:37;7;0;DELLU2414H_1771511850.png
1771511851;19.02.2026 15:37;8;1;DELLU2414H_1771511851.png
1771511852;19.02.2026 15:37;14;1;DELLU2414H_1771511852.png
1771511853;19.02.2026 15:37;10;0.995;DELLU2414H_1771511853.png
1771511854;19.02.2026 15:37;12;0.996;DELLU2414H_1771511854.png
1771511855;19.02.2026 15:37;13;1;DELLU2414H_1771511855.png
1771511856;19.02.2026 15:37;8;1;DELLU2414H_1771511856.png
1771511857;19.02.2026 15:37;7;0;DELLU2414H_1771511857.png
1771511858;19.02.2026 15:37;7;0;DELLU2414H_1771511858.png
1771511859;19.02.2026 15:37;7;0;DELLU2414H_1771511859.png
1771511860;19.02.2026 15:37;7;0;DELLU2414H_1771511860.png
1771511861;19.02.2026 15:37;7;0;DELLU2414H_1771511861.png
1771511862;19.02.2026 15:37;19;1;DELLU2414H_1771511862.png
1771511863;19.02.2026 15:37;60;1;DELLU2414H_1771511863.png
1771511864;19.02.2026 15:37;12;0.997;DELLU2414H_1771511864.png
1771511865;19.02.2026 15:37;7;0;DELLU2414H_1771511865.png
1771511866;19.02.2026 15:37;7;0;DELLU2414H_1771511866.png
1771511867;19.02.2026 15:37;7;0;DELLU2414H_1771511867.png
1771511868;19.02.2026 15:37;133;0.812;DELLU2414H_1771511868.png
1771511869;19.02.2026 15:37;17;0.999;DELLU2414H_1771511869.png
1771511870;19.02.2026 15:37;21;0.999;DELLU2414H_1771511870.png
1771511871;19.02.2026 15:37;68;1;DELLU2414H_1771511871.png
1771511872;19.02.2026 15:37;17;0.999;DELLU2414H_1771511872.png
1771511873;19.02.2026 15:37;14;1;DELLU2414H_1771511873.png
1771511874;19.02.2026 15:37;7;0;DELLU2414H_1771511874.png
1771511875;19.02.2026 15:37;7;0;DELLU2414H_1771511875.png
1771511876;19.02.2026 15:37;7;0;DELLU2414H_1771511876.png
1771511877;19.02.2026 15:37;7;0;DELLU2414H_1771511877.png
1771511878;19.02.2026 15:37;35;1;DELLU2414H_1771511878.png
1771511879;19.02.2026 15:37;53;0.948;DELLU2414H_1771511879.png
1771511880;19.02.2026 15:38;11;0.899;DELLU2414H_1771511880.png
1771511881;19.02.2026 15:38;46;1;DELLU2414H_1771511881.png
1771511882;19.02.2026 15:38;15;1;DELLU2414H_1771511882.png
1771511883;19.02.2026 15:38;28;1;DELLU2414H_1771511883.png
1771511884;19.02.2026 15:38;14;1;DELLU2414H_1771511884.png
1771511885;19.02.2026 15:38;14;1;DELLU2414H_1771511885.png
1771511886;19.02.2026 15:38;120;0.996;DELLU2414H_1771511886.png
1771511887;19.02.2026 15:38;18;1;DELLU2414H_1771511887.png
1771511888;19.02.2026 15:38;18;1;DELLU2414H_1771511888.png
1771511889;19.02.2026 15:38;7;0;DELLU2414H_1771511889.png
1771511890;19.02.2026 15:38;7;0;DELLU2414H_1771511890.png
1771511891;19.02.2026 15:38;12;0.996;DELLU2414H_1771511891.png
1771511892;19.02.2026 15:38;7;0;DELLU2414H_1771511892.png
1771511893;19.02.2026 15:38;11;0.9;DELLU2414H_1771511893.png
1771511894;19.02.2026 15:38;7;0;DELLU2414H_1771511894.png
1771511895;19.02.2026 15:38;23;1;DELLU2414H_1771511895.png
1771511897;19.02.2026 15:38;49;1;DELLU2414H_1771511897.png
1771511898;19.02.2026 15:38;10;0.996;DELLU2414H_1771511898.png
1771511899;19.02.2026 15:38;28;1;DELLU2414H_1771511899.png
1771511900;19.02.2026 15:38;9;1;DELLU2414H_1771511900.png
1771511901;19.02.2026 15:38;47;1;DELLU2414H_1771511901.png
1771511902;19.02.2026 15:38;39;1;DELLU2414H_1771511902.png
1771511903;19.02.2026 15:38;9;1;DELLU2414H_1771511903.png
1771511904;19.02.2026 15:38;13;1;DELLU2414H_1771511904.png
1771511905;19.02.2026 15:38;7;0;DELLU2414H_1771511905.png
1771511906;19.02.2026 15:38;9;1;DELLU2414H_1771511906.png
1771511907;19.02.2026 15:38;9;1;DELLU2414H_1771511907.png
1771511908;19.02.2026 15:38;9;1;DELLU2414H_1771511908.png
1771511909;19.02.2026 15:38;9;1;DELLU2414H_1771511909.png
1771511910;19.02.2026 15:38;10;0.996;DELLU2414H_1771511910.png
1771511911;19.02.2026 15:38;7;0;DELLU2414H_1771511911.png
1771511912;19.02.2026 15:38;7;0;DELLU2414H_1771511912.png
1771511913;19.02.2026 15:38;7;0;DELLU2414H_1771511913.png
1771511914;19.02.2026 15:38;8;1;DELLU2414H_1771511914.png
1771511915;19.02.2026 15:38;7;0;DELLU2414H_1771511915.png
1771511916;19.02.2026 15:38;7;0;DELLU2414H_1771511916.png
1771511917;19.02.2026 15:38;7;0;DELLU2414H_1771511917.png
1771511918;19.02.2026 15:38;15;1;DELLU2414H_1771511918.png
1771511919;19.02.2026 15:38;15;1;DELLU2414H_1771511919.png
1771511920;19.02.2026 15:38;7;0;DELLU2414H_1771511920.png
1771511921;19.02.2026 15:38;7;0;DELLU2414H_1771511921.png
1771511922;19.02.2026 15:38;7;0;DELLU2414H_1771511922.png
1771511923;19.02.2026 15:38;7;0;DELLU2414H_1771511923.png
1771511924;19.02.2026 15:38;8;1;DELLU2414H_1771511924.png
1771511925;19.02.2026 15:38;7;0;DELLU2414H_1771511925.png
1771511926;19.02.2026 15:38;8;1;DELLU2414H_1771511926.png
1771511927;19.02.2026 15:38;7;0;DELLU2414H_1771511927.png
1771511928;19.02.2026 15:38;9;1;DELLU2414H_1771511928.png
1771511929;19.02.2026 15:38;7;0;DELLU2414H_1771511929.png
1771511930;19.02.2026 15:38;7;0;DELLU2414H_1771511930.png
1771511931;19.02.2026 15:38;7;0;DELLU2414H_1771511931.png
1771511932;19.02.2026 15:38;7;0;DELLU2414H_1771511932.png
1771511933;19.02.2026 15:38;12;0.997;DELLU2414H_1771511933.png
1771511934;19.02.2026 15:38;8;1;DELLU2414H_1771511934.png
1771511935;19.02.2026 15:38;8;1;DELLU2414H_1771511935.png
1771511936;19.02.2026 15:38;8;1;DELLU2414H_1771511936.png
1771511937;19.02.2026 15:38;7;0;DELLU2414H_1771511937.png
1771511938;19.02.2026 15:38;8;1;DELLU2414H_1771511938.png
1771511939;19.02.2026 15:38;7;0;DELLU2414H_1771511939.png
1771511940;19.02.2026 15:39;7;0;DELLU2414H_1771511940.png
1771511941;19.02.2026 15:39;7;0;DELLU2414H_1771511941.png
1771511942;19.02.2026 15:39;7;0;DELLU2414H_1771511942.png
1771511943;19.02.2026 15:39;7;0;DELLU2414H_1771511943.png
1771511944;19.02.2026 15:39;8;1;DELLU2414H_1771511944.png
1771511945;19.02.2026 15:39;8;1;DELLU2414H_1771511945.png
1771511946;19.02.2026 15:39;7;0;DELLU2414H_1771511946.png
1771511947;19.02.2026 15:39;7;0;DELLU2414H_1771511947.png
1771511948;19.02.2026 15:39;7;0;DELLU2414H_1771511948.png
1771511949;19.02.2026 15:39;7;0;DELLU2414H_1771511949.png
1771511950;19.02.2026 15:39;8;1;DELLU2414H_1771511950.png
1771511951;19.02.2026 15:39;7;0;DELLU2414H_1771511951.png
1771511952;19.02.2026 15:39;7;0;DELLU2414H_1771511952.png
1771511953;19.02.2026 15:39;7;0;DELLU2414H_1771511953.png
1771511954;19.02.2026 15:39;7;0;DELLU2414H_1771511954.png
1771511955;19.02.2026 15:39;8;1;DELLU2414H_1771511955.png
1771511956;19.02.2026 15:39;7;0;DELLU2414H_1771511956.png
1771511957;19.02.2026 15:39;7;0;DELLU2414H_1771511957.png
1771511958;19.02.2026 15:39;7;0;DELLU2414H_1771511958.png
1771511960;19.02.2026 15:39;7;0;DELLU2414H_1771511960.png
1771511961;19.02.2026 15:39;8;1;DELLU2414H_1771511961.png
1771511962;19.02.2026 15:39;7;0;DELLU2414H_1771511962.png
1771511963;19.02.2026 15:39;7;0;DELLU2414H_1771511963.png
1771511964;19.02.2026 15:39;7;0;DELLU2414H_1771511964.png
1771511965;19.02.2026 15:39;7;0;DELLU2414H_1771511965.png
1771511966;19.02.2026 15:39;7;0;DELLU2414H_1771511966.png
1771511967;19.02.2026 15:39;7;0;DELLU2414H_1771511967.png
1771511968;19.02.2026 15:39;7;0;DELLU2414H_1771511968.png
1771511969;19.02.2026 15:39;7;0;DELLU2414H_1771511969.png
1771511970;19.02.2026 15:39;7;0;DELLU2414H_1771511970.png
1771511971;19.02.2026 15:39;7;0;DELLU2414H_1771511971.png
1771511972;19.02.2026 15:39;7;0;DELLU2414H_1771511972.png
1771511973;19.02.2026 15:39;8;1;DELLU2414H_1771511973.png
1771511974;19.02.2026 15:39;7;0;DELLU2414H_1771511974.png
1771511975;19.02.2026 15:39;7;0;DELLU2414H_1771511975.png
