timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1771514379;19.02.2026 16:19;6;1;DELLU2414H_1771514379.png
1771514380;19.02.2026 16:19;6;1;DELLU2414H_1771514380.png
1771514381;19.02.2026 16:19;7;0;DELLU2414H_1771514381.png
1771514382;19.02.2026 16:19;7;0;DELLU2414H_1771514382.png
1771514383;19.02.2026 16:19;6;1;DELLU2414H_1771514383.png
1771514384;19.02.2026 16:19;6;1;DELLU2414H_1771514384.png
1771514385;19.02.2026 16:19;32;1;DELLU2414H_1771514385.png
1771514386;19.02.2026 16:19;10;0.997;DELLU2414H_1771514386.png
1771514387;19.02.2026 16:19;7;0;DELLU2414H_1771514387.png
1771514388;19.02.2026 16:19;7;0;DELLU2414H_1771514388.png
1771514389;19.02.2026 16:19;11;0.884;DELLU2414H_1771514389.png
1771514390;19.02.2026 16:19;8;1;DELLU2414H_1771514390.png
1771514391;19.02.2026 16:19;7;0;DELLU2414H_1771514391.png
1771514392;19.02.2026 16:19;19;1;DELLU2414H_1771514392.png
1771514393;19.02.2026 16:19;8;1;DELLU2414H_1771514393.png
1771514394;19.02.2026 16:19;13;0.751;DELLU2414H_1771514394.png
1771514395;19.02.2026 16:19;7;0;DELLU2414H_1771514395.png
1771514396;19.02.2026 16:19;14;1;DELLU2414H_1771514396.png
1771514397;19.02.2026 16:19;8;1;DELLU2414H_1771514397.png
1771514398;19.02.2026 16:19;19;0.954;DELLU2414H_1771514398.png
1771514399;19.02.2026 16:19;8;1;DELLU2414H_1771514399.png
1771514400;19.02.2026 16:20;13;0.685;DELLU2414H_1771514400.png
1771514401;19.02.2026 16:20;7;0;DELLU2414H_1771514401.png
1771514402;19.02.2026 16:20;9;1;DELLU2414H_1771514402.png
1771514403;19.02.2026 16:20;9;1;DELLU2414H_1771514403.png
1771514404;19.02.2026 16:20;9;1;DELLU2414H_1771514404.png
1771514405;19.02.2026 16:20;547;1;DELLU2414H_1771514405.png
1771514406;19.02.2026 16:20;187;1;DELLU2414H_1771514406.png
1771514407;19.02.2026 16:20;30;1;DELLU2414H_1771514407.png
1771514408;19.02.2026 16:20;13;0.487;DELLU2414H_1771514408.png
1771514409;19.02.2026 16:20;7;0;DELLU2414H_1771514409.png
1771514410;19.02.2026 16:20;8;1;DELLU2414H_1771514410.png
1771514411;19.02.2026 16:20;7;0;DELLU2414H_1771514411.png
1771514412;19.02.2026 16:20;7;0;DELLU2414H_1771514412.png
1771514413;19.02.2026 16:20;7;0;DELLU2414H_1771514413.png
1771514414;19.02.2026 16:20;7;0;DELLU2414H_1771514414.png
1771514415;19.02.2026 16:20;14;1;DELLU2414H_1771514415.png
1771514416;19.02.2026 16:20;8;1;DELLU2414H_1771514416.png
1771514417;19.02.2026 16:20;13;0.469;DELLU2414H_1771514417.png
1771514418;19.02.2026 16:20;7;0;DELLU2414H_1771514418.png
1771514419;19.02.2026 16:20;7;0;DELLU2414H_1771514419.png
1771514420;19.02.2026 16:20;7;0;DELLU2414H_1771514420.png
1771514421;19.02.2026 16:20;463;1;DELLU2414H_1771514421.png
1771514422;19.02.2026 16:20;48;1;DELLU2414H_1771514422.png
1771514423;19.02.2026 16:20;12;0.997;DELLU2414H_1771514423.png
1771514424;19.02.2026 16:20;16;0.999;DELLU2414H_1771514424.png
1771514425;19.02.2026 16:20;9;1;DELLU2414H_1771514425.png
