timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1773338087;12.03.2026 18:54;11;0;DELLU2721DE_1773338087.png
1773338088;12.03.2026 18:54;10;0.992;DELLU2721DE_1773338088.png
1773338089;12.03.2026 18:54;10;0.992;DELLU2721DE_1773338089.png
1773338090;12.03.2026 18:54;11;0;DELLU2721DE_1773338090.png
1773338091;12.03.2026 18:54;11;0;DELLU2721DE_1773338091.png
1773338092;12.03.2026 18:54;11;0;DELLU2721DE_1773338092.png
1773338093;12.03.2026 18:54;11;0;DELLU2721DE_1773338093.png
1773338094;12.03.2026 18:54;11;0.992;DELLU2721DE_1773338094.png
1773338095;12.03.2026 18:54;11;0;DELLU2721DE_1773338095.png
1773338096;12.03.2026 18:54;24;1;DELLU2721DE_1773338096.png
1773338097;12.03.2026 18:54;23;1;DELLU2721DE_1773338097.png
1773338098;12.03.2026 18:54;21;1;DELLU2721DE_1773338098.png
1773338099;12.03.2026 18:54;12;0.997;DELLU2721DE_1773338099.png
1773338100;12.03.2026 18:55;19;1;DELLU2721DE_1773338100.png
1773338101;12.03.2026 18:55;18;1;DELLU2721DE_1773338101.png
1773338102;12.03.2026 18:55;17;0.999;DELLU2721DE_1773338102.png
1773338103;12.03.2026 18:55;26;1;DELLU2721DE_1773338103.png
1773338104;12.03.2026 18:55;23;0.456;DELLU2721DE_1773338104.png
1773338105;12.03.2026 18:55;16;0.997;DELLU2721DE_1773338105.png
1773338106;12.03.2026 18:55;12;0.998;DELLU2721DE_1773338106.png
1773338107;12.03.2026 18:55;11;0;DELLU2721DE_1773338107.png
1773338108;12.03.2026 18:55;11;0;DELLU2721DE_1773338108.png
1773338109;12.03.2026 18:55;11;0;DELLU2721DE_1773338109.png
1773338110;12.03.2026 18:55;11;0;DELLU2721DE_1773338110.png
1773338111;12.03.2026 18:55;11;0;DELLU2721DE_1773338111.png
1773338112;12.03.2026 18:55;11;0;DELLU2721DE_1773338112.png
1773338113;12.03.2026 18:55;11;0;DELLU2721DE_1773338113.png
1773338114;12.03.2026 18:55;11;0;DELLU2721DE_1773338114.png
1773338115;12.03.2026 18:55;16;0.999;DELLU2721DE_1773338115.png
1773338116;12.03.2026 18:55;25;1;DELLU2721DE_1773338116.png
1773338117;12.03.2026 18:55;24;1;DELLU2721DE_1773338117.png
1773338118;12.03.2026 18:55;25;1;DELLU2721DE_1773338118.png
1773338119;12.03.2026 18:55;23;0.456;DELLU2721DE_1773338119.png
1773338120;12.03.2026 18:55;23;0.473;DELLU2721DE_1773338120.png
1773338121;12.03.2026 18:55;21;1;DELLU2721DE_1773338121.png
1773338122;12.03.2026 18:55;28;1;DELLU2721DE_1773338122.png
1773338123;12.03.2026 18:55;24;1;DELLU2721DE_1773338123.png
1773338124;12.03.2026 18:55;24;1;DELLU2721DE_1773338124.png
1773338125;12.03.2026 18:55;13;1;DELLU2721DE_1773338125.png
1773338127;12.03.2026 18:55;24;1;DELLU2721DE_1773338127.png
1773338128;12.03.2026 18:55;25;0.586;DELLU2721DE_1773338128.png
