timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1773338354;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338354.png
1773338355;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338355.png
1773338356;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338356.png
1773338357;12.03.2026 18:59;11;0;DELLU2721DE_1773338357.png
1773338358;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338358.png
1773338359;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338359.png
1773338360;12.03.2026 18:59;11;0.991;DELLU2721DE_1773338360.png
1773338361;12.03.2026 18:59;11;0.991;DELLU2721DE_1773338361.png
1773338362;12.03.2026 18:59;11;0.992;DELLU2721DE_1773338362.png
1773338363;12.03.2026 18:59;22;1;DELLU2721DE_1773338363.png
1773338364;12.03.2026 18:59;28;1;DELLU2721DE_1773338364.png
1773338365;12.03.2026 18:59;27;1;DELLU2721DE_1773338365.png
1773338366;12.03.2026 18:59;21;1;DELLU2721DE_1773338366.png
1773338367;12.03.2026 18:59;14;1;DELLU2721DE_1773338367.png
1773338368;12.03.2026 18:59;38;0.542;DELLU2721DE_1773338368.png
1773338369;12.03.2026 18:59;19;1;DELLU2721DE_1773338369.png
1773338370;12.03.2026 18:59;18;1;DELLU2721DE_1773338370.png
1773338371;12.03.2026 18:59;18;1;DELLU2721DE_1773338371.png
1773338372;12.03.2026 18:59;15;0.999;DELLU2721DE_1773338372.png
1773338373;12.03.2026 18:59;19;1;DELLU2721DE_1773338373.png
1773338374;12.03.2026 18:59;21;1;DELLU2721DE_1773338374.png
1773338376;12.03.2026 18:59;19;1;DELLU2721DE_1773338376.png
1773338377;12.03.2026 18:59;12;0.997;DELLU2721DE_1773338377.png
1773338378;12.03.2026 18:59;20;1;DELLU2721DE_1773338378.png
1773338379;12.03.2026 18:59;13;1;DELLU2721DE_1773338379.png
1773338380;12.03.2026 18:59;24;1;DELLU2721DE_1773338380.png
1773338381;12.03.2026 18:59;22;0.816;DELLU2721DE_1773338381.png
1773338382;12.03.2026 18:59;13;1;DELLU2721DE_1773338382.png
1773338383;12.03.2026 18:59;24;1;DELLU2721DE_1773338383.png
1773338384;12.03.2026 18:59;15;0.999;DELLU2721DE_1773338384.png
1773338385;12.03.2026 18:59;21;1;DELLU2721DE_1773338385.png
1773338386;12.03.2026 18:59;20;1;DELLU2721DE_1773338386.png
1773338387;12.03.2026 18:59;13;1;DELLU2721DE_1773338387.png
1773338388;12.03.2026 18:59;21;1;DELLU2721DE_1773338388.png
1773338389;12.03.2026 18:59;22;1;DELLU2721DE_1773338389.png
1773338390;12.03.2026 18:59;22;1;DELLU2721DE_1773338390.png
1773338391;12.03.2026 18:59;15;0.999;DELLU2721DE_1773338391.png
1773338392;12.03.2026 18:59;12;0.997;DELLU2721DE_1773338392.png
1773338393;12.03.2026 18:59;12;0.998;DELLU2721DE_1773338393.png
1773338394;12.03.2026 18:59;12;0.997;DELLU2721DE_1773338394.png
1773338395;12.03.2026 18:59;11;0;DELLU2721DE_1773338395.png
1773338396;12.03.2026 18:59;11;0;DELLU2721DE_1773338396.png
1773338397;12.03.2026 18:59;12;0.997;DELLU2721DE_1773338397.png
1773338398;12.03.2026 18:59;13;1;DELLU2721DE_1773338398.png
1773338399;12.03.2026 18:59;15;0.999;DELLU2721DE_1773338399.png
1773338400;12.03.2026 19:00;16;0.998;DELLU2721DE_1773338400.png
1773338401;12.03.2026 19:00;15;0.999;DELLU2721DE_1773338401.png
1773338402;12.03.2026 19:00;21;1;DELLU2721DE_1773338402.png
