timestamp;datetime_local;Roundtripzeit;ocr_confidence;source_file
1773477527;2026-03-14 09:38:47;15;0.999;DELLU2721DE_1773477527.png
1773477528;2026-03-14 09:38:48;13;1.000;DELLU2721DE_1773477528.png
1773477529;2026-03-14 09:38:49;13;1.000;DELLU2721DE_1773477529.png
1773477530;2026-03-14 09:38:50;17;1.000;DELLU2721DE_1773477530.png
1773477531;2026-03-14 09:38:51;17;1.000;DELLU2721DE_1773477531.png
1773477532;2026-03-14 09:38:52;14;1.000;DELLU2721DE_1773477532.png
1773477533;2026-03-14 09:38:53;14;1.000;DELLU2721DE_1773477533.png
1773477534;2026-03-14 09:38:54;16;0.988;DELLU2721DE_1773477534.png
1773477535;2026-03-14 09:38:55;18;1.000;DELLU2721DE_1773477535.png
1773477536;2026-03-14 09:38:56;14;1.000;DELLU2721DE_1773477536.png
1773477537;2026-03-14 09:38:57;16;0.992;DELLU2721DE_1773477537.png
1773477538;2026-03-14 09:38:58;23;1.000;DELLU2721DE_1773477538.png
1773477539;2026-03-14 09:38:59;17;0.999;DELLU2721DE_1773477539.png
1773477540;2026-03-14 09:39:00;17;1.000;DELLU2721DE_1773477540.png
1773477541;2026-03-14 09:39:01;18;1.000;DELLU2721DE_1773477541.png
1773477542;2026-03-14 09:39:02;16;0.969;DELLU2721DE_1773477542.png
1773477543;2026-03-14 09:39:03;13;1.000;DELLU2721DE_1773477543.png
1773477544;2026-03-14 09:39:04;22;1.000;DELLU2721DE_1773477544.png
1773477545;2026-03-14 09:39:05;26;1.000;DELLU2721DE_1773477545.png
1773477546;2026-03-14 09:39:06;26;1.000;DELLU2721DE_1773477546.png
1773477547;2026-03-14 09:39:07;19;1.000;DELLU2721DE_1773477547.png
1773477548;2026-03-14 09:39:08;16;0.999;DELLU2721DE_1773477548.png
1773477549;2026-03-14 09:39:09;15;0.999;DELLU2721DE_1773477549.png
1773477550;2026-03-14 09:39:10;15;0.999;DELLU2721DE_1773477550.png
1773477551;2026-03-14 09:39:11;16;0.999;DELLU2721DE_1773477551.png
1773477552;2026-03-14 09:39:12;53;1.000;DELLU2721DE_1773477552.png
1773477553;2026-03-14 09:39:13;90;0.997;DELLU2721DE_1773477553.png
1773477554;2026-03-14 09:39:14;51;1.000;DELLU2721DE_1773477554.png
1773477555;2026-03-14 09:39:15;16;0.993;DELLU2721DE_1773477555.png
1773477556;2026-03-14 09:39:16;21;1.000;DELLU2721DE_1773477556.png
1773477557;2026-03-14 09:39:17;14;1.000;DELLU2721DE_1773477557.png
1773477558;2026-03-14 09:39:18;19;1.000;DELLU2721DE_1773477558.png
1773477559;2026-03-14 09:39:19;14;1.000;DELLU2721DE_1773477559.png
1773477560;2026-03-14 09:39:20;20;1.000;DELLU2721DE_1773477560.png
1773477561;2026-03-14 09:39:21;20;1.000;DELLU2721DE_1773477561.png
1773477562;2026-03-14 09:39:22;18;1.000;DELLU2721DE_1773477562.png
1773477563;2026-03-14 09:39:23;49;1.000;DELLU2721DE_1773477563.png
1773477564;2026-03-14 09:39:24;16;0.994;DELLU2721DE_1773477564.png
1773477565;2026-03-14 09:39:25;24;1.000;DELLU2721DE_1773477565.png
1773477566;2026-03-14 09:39:26;25;1.000;DELLU2721DE_1773477566.png
1773477567;2026-03-14 09:39:27;17;0.999;DELLU2721DE_1773477567.png
1773477568;2026-03-14 09:39:28;14;1.000;DELLU2721DE_1773477568.png
