Dateiname;Mittelwert;Mittelwert_Note;Median;Median_Note;P90;P90_Note;P95;P95_Note;hervorragend;sehr gut;gut;ausreichend;ungenügend
20260129_HOME_WLAN_Verstärker_BOOSTCLGA_LOADYOUTUBE4K.csv;20.9;gut;19.0;sehr gut;24.0;gut;29.0;gut;0.0;58.5;39.0;2.0;0.5
20260129_HOME_WLAN_Verstärker_BOOSTNOPRIO_LOADNO.csv;16.9;sehr gut;16.0;sehr gut;20.0;gut;23.0;gut;0.0;88.0;12.0;0.0;0.0
20260129_HOME_WLAN_Verstärker_BOOSTNOPRIO_LOADTCP8.csv;23.1;gut;22.0;gut;30.0;gut;34.0;gut;0.0;30.2;67.8;2.0;0.0
20260129_HOME_WLAN_Verstärker_BOOSTNOPRIO_LOADYOUTUBE4K.csv;39.2;gut;22.0;gut;70.0;ausreichend;165.0;ungenügend;0.0;29.0;50.0;11.5;9.5
20260130_HOME_LAN_BOOSTCLGA_LOADMAGTVYOUTUBE4K.csv;20.7;gut;19.5;sehr gut;31.0;gut;43.0;ausreichend;0.0;50.0;43.0;7.0;0.0
20260130_HOME_LAN_BOOSTCLGA_LOADNO.csv;12.0;sehr gut;12.0;sehr gut;12.0;sehr gut;12.0;sehr gut;0.0;100.0;0.0;0.0;0.0
20260130_HOME_LAN_BOOSTCLGA_LOADYOUTUBE4K.csv;16.7;sehr gut;15.0;sehr gut;25.0;gut;28.0;gut;0.0;68.5;31.0;0.5;0.0
20260130_HOME_LAN_BOOSTDEACTIVATE_LOADMAGTVYOUTUBE4K.csv;21.1;gut;22.0;gut;29.0;gut;32.0;gut;0.0;39.0;60.0;1.0;0.0
20260130_HOME_LAN_BOOSTDEACTIVATE_LOADNO.csv;11.3;sehr gut;11.0;sehr gut;13.0;sehr gut;15.0;sehr gut;12.0;87.5;0.5;0.0;0.0
20260130_HOME_LAN_BOOSTDEACTIVATE_LOADNO_2.csv;12.0;sehr gut;12.0;sehr gut;12.0;sehr gut;12.0;sehr gut;0.0;100.0;0.0;0.0;0.0
20260130_HOME_LAN_BOOSTDEACTIVATE_LOADYOUTUBE4K.csv;17.2;sehr gut;16.0;sehr gut;25.0;gut;28.0;gut;0.0;62.5;35.5;2.0;0.0
20260130_HOME_LAN_BOOSTDEACTIVATE_LOADYOUTUBE4K_2.csv;18.0;sehr gut;17.0;sehr gut;25.0;gut;28.0;gut;0.0;60.5;39.0;0.5;0.0
20260130_HOME_LAN_BOOSTNOPRIO_LOADNO.csv;11.6;sehr gut;11.0;sehr gut;13.0;sehr gut;14.0;sehr gut;0.0;100.0;0.0;0.0;0.0
20260130_HOME_LAN_BOOSTNOPRIO_LOADYOUTUBE4K.csv;17.6;sehr gut;15.0;sehr gut;28.0;gut;33.0;gut;0.0;67.5;31.0;1.5;0.0
20260203_ULBWE_LAN_BOOSTCLGA__LOADSTEAM.csv;13.9;sehr gut;13.0;sehr gut;21.0;gut;23.0;gut;30.5;53.0;16.5;0.0;0.0
20260203_ULBWE_LAN_BOOSTCLGA_LOADNO.csv;6.0;hervorragend;6.0;hervorragend;6.0;hervorragend;6.0;hervorragend;100.0;0.0;0.0;0.0;0.0
20260203_ULBWE_LAN_BOOSTDEACTIVATE_LOADNO.csv;6.0;hervorragend;6.0;hervorragend;6.0;hervorragend;6.0;hervorragend;100.0;0.0;0.0;0.0;0.0
